Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"19,194","3,964","2,328",3.65 - 3.95,3.60 - 3.94,21%,59%,
UCD,"17,623","9,722","3,086",3.35 - 3.81,3.24 - 3.67,55%,32%,
UCI,"21,471","8,924","2,656",3.43 - 3.85,3.36 - 3.72,42%,30%,
UCLA,"23,758","5,574","3,427",3.67 - 3.94,3.63 - 3.93,23%,61%,
UCM,"3,696","2,006",191,2.90 - 3.55,2.74 - 3.36,54%,10%,
UCR,"12,309","8,128","1,919",2.94 - 3.58,2.77 - 3.36,66%,24%,
UCSB,"17,898","10,137","2,474",3.30 - 3.80,3.17 - 3.64,57%,24%,
UCSC,"11,834","7,725","1,813",3.02 - 3.65,2.84 - 3.44,65%,23%,
UCSD,"18,903","9,221","3,121",3.42 - 3.87,3.29 - 3.75,49%,34%,
