Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"21,513","4,792","2,691",3.62 - 3.98,3.60 - 3.97,22%,56%,
UCD,"16,478","9,606","2,597",3.47 - 3.90,3.38 - 3.83,58%,27%,
UCI,"25,104","9,884","2,719",3.57 - 3.93,3.50 - 3.88,39%,28%,
UCLA,"27,178","6,177","3,833",3.77 - 4.00,3.75 - 4.00,23%,62%,
UCM,"3,786","2,397",222,3.15 - 3.75,2.98 - 3.63,63%,9%,
UCR,"12,268","7,034","1,271",3.19 - 3.82,3.00 - 3.69,57%,18%,
UCSB,"18,438","11,369","2,110",3.44 - 3.91,3.31 - 3.78,62%,19%,
UCSC,"12,122","7,732","1,274",3.22 - 3.83,3.00 - 3.68,64%,16%,
UCSD,"22,499","12,190","3,754",3.46 - 3.92,3.36 - 3.85,54%,31%,
