Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"17,285","3,268","2,171",3.64 - 3.95,3.60 - 3.94,19%,66%,
UCD,"15,332","8,196","2,928",3.30 - 3.77,3.22 - 3.61,53%,36%,
UCI,"17,008","7,532","1,958",3.35 - 3.80,3.24 - 3.65,44%,26%,
UCLA,"20,115","5,188","3,108",3.55 - 3.92,3.52 - 3.90,26%,60%,
UCM,"2,554","1,097",95,2.99 - 3.54,2.84 - 3.27,43%,9%,
UCR,"9,497","5,612","1,276",3.02 - 3.58,2.82 - 3.32,59%,23%,
UCSB,"14,754","6,947","1,541",3.36 - 3.80,3.20 - 3.61,47%,22%,
UCSC,"8,849","4,841","1,136",3.10 - 3.66,2.88 - 3.43,55%,23%,
UCSD,"16,263","8,024","2,676",3.50 - 3.86,3.33 - 3.77,49%,33%,
