Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"19,371","4,573","2,670",3.62 - 3.96,3.58 - 3.95,24%,58%,
UCD,"15,533","9,045","2,614",3.44 - 3.89,3.32 - 3.80,58%,29%,
UCI,"22,815","9,142","2,579",3.60 - 3.93,3.53 - 3.89,40%,28%,
UCLA,"24,943","5,961","3,645",3.74 - 4.00,3.73 - 4.00,24%,61%,
UCM,"4,226","2,688",213,3.15 - 3.75,2.85 - 3.54,64%,8%,
UCR,"12,937","7,877","1,461",3.17 - 3.80,2.96 - 3.64,61%,19%,
UCSB,"17,636","10,245","2,099",3.48 - 3.92,3.33 - 3.81,58%,20%,
UCSC,"11,719","7,099","1,212",3.20 - 3.82,3.02 - 3.70,61%,17%,
UCSD,"19,734","11,430","3,069",3.45 - 3.91,3.33 - 3.84,58%,27%,
