Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"16,627","3,290","2,190",3.65 - 3.94,3.62 - 3.94,20%,67%,
UCD,"14,412","8,215","3,128",3.28 - 3.76,3.19 - 3.60,57%,38%,
UCI,"16,039","7,263","2,025",3.34 - 3.78,3.24 - 3.60,45%,28%,
UCLA,"19,404","5,198","3,167",3.53 - 3.91,3.50 - 3.88,27%,61%,
UCM,"2,406","1,067",108,3.00 - 3.56,2.76 - 3.33,44%,10%,
UCR,"9,044","5,371","1,291",3.00 - 3.56,2.75 - 3.33,59%,24%,
UCSB,"14,183","6,908","1,593",3.33 - 3.78,3.17 - 3.58,49%,23%,
UCSC,"8,190","4,587","1,063",3.08 - 3.63,2.85 - 3.42,56%,23%,
UCSD,"16,148","7,193","2,457",3.56 - 3.88,3.47 - 3.81,45%,34%,
