Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"19,342","5,074","2,777",3.62 - 3.97,3.59 - 3.96,26%,55%,
UCD,"14,755","9,489","2,558",3.43 - 3.89,3.33 - 3.80,64%,27%,
UCI,"21,992","9,438","2,871",3.54 - 3.92,3.43 - 3.86,43%,30%,
UCLA,"23,979","6,190","3,701",3.72 - 4.00,3.71 - 4.00,26%,60%,
UCM,"4,046","2,645",209,3.14 - 3.75,2.97 - 3.58,65%,8%,
UCR,"12,086","6,803","1,246",3.19 - 3.82,3.03 - 3.68,56%,18%,
UCSB,"17,077","10,278","1,902",3.46 - 3.91,3.32 - 3.80,60%,19%,
UCSC,"11,168","7,162","1,113",3.21 - 3.83,3.04 - 3.70,64%,16%,
UCSD,"19,977","12,264","3,210",3.45 - 3.91,3.33 - 3.85,61%,26%,
