Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"15,771","3,361","2,184",3.63 - 3.93,3.61 - 3.93,21%,65%,
UCD,"13,107","7,563","2,869",3.23 - 3.73,3.13 - 3.57,58%,38%,
UCI,"15,411","6,581","1,706",3.35 - 3.79,3.24 - 3.61,43%,26%,
UCLA,"18,940","5,290","3,174",3.54 - 3.90,3.50 - 3.87,28%,60%,
UCM,"2,289","1,093",130,2.89 - 3.46,2.76 - 3.38,48%,12%,
UCR,"7,749","5,054","1,235",2.96 - 3.54,2.75 - 3.31,65%,24%,
UCSB,"13,522","6,746","1,654",3.27 - 3.74,3.11 - 3.53,50%,25%,
UCSC,"7,696","5,038","1,211",3.04 - 3.60,2.86 - 3.41,65%,24%,
UCSD,"15,227","6,722","2,225",3.50 - 3.86,3.32 - 3.72,44%,33%,
