Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"16,013","3,335","2,241",3.66 - 3.93,3.63 - 3.92,21%,67%,
UCD,"13,724","8,151","3,087",3.24 - 3.74,3.15 - 3.59,59%,38%,
UCI,"15,541","7,176","2,000",3.28 - 3.75,3.19 - 3.59,46%,28%,
UCLA,"19,118","4,944","2,822",3.55 - 3.91,3.51 - 3.88,26%,57%,
UCM,"2,228",924,104,2.93 - 3.51,2.76 - 3.44,41%,11%,
UCR,"8,914","5,379","1,313",2.95 - 3.53,2.75 - 3.30,60%,24%,
UCSB,"13,648","6,524","1,496",3.29 - 3.76,3.14 - 3.58,48%,23%,
UCSC,"8,148","4,379","1,002",3.07 - 3.62,2.89 - 3.43,54%,23%,
UCSD,"15,034","7,762","2,700",3.46 - 3.84,3.34 - 3.72,52%,35%,
