Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"20,412","4,166","2,477",3.64 - 3.96,3.59 - 3.95,20%,59%,
UCD,"17,907","9,929","3,031",3.39 - 3.83,3.27 - 3.71,55%,31%,
UCI,"24,225","9,809","2,728",3.52 - 3.89,3.45 - 3.80,40%,28%,
UCLA,"25,961","6,271","3,788",3.70 - 3.95,3.67 - 3.94,24%,60%,
UCM,"3,994","2,063",203,2.92 - 3.60,2.71 - 3.37,52%,10%,
UCR,"14,021","9,033","2,088",2.98 - 3.63,2.78 - 3.40,64%,23%,
UCSB,"18,981","11,250","2,453",3.33 - 3.85,3.17 - 3.66,59%,22%,
UCSC,"12,572","7,920","1,641",3.05 - 3.70,2.84 - 3.51,63%,21%,
UCSD,"21,089","11,225","3,336",3.42 - 3.88,3.30 - 3.76,53%,30%,
