Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"19,151","3,867","2,574",3.63 - 3.93,3.60 - 3.93,20%,67%,
UCD,"17,474","10,205","3,628",3.27 - 3.75,3.16 - 3.60,58%,36%,
UCI,"19,911","9,349","2,470",3.35 - 3.80,3.23 - 3.67,47%,26%,
UCLA,"22,299","5,708","3,346",3.58 - 3.92,3.54 - 3.90,26%,59%,
UCM,"3,172","1,655",174,2.91 - 3.50,2.64 - 3.19,52%,11%,
UCR,"10,857","6,220","1,232",3.02 - 3.59,2.85 - 3.41,57%,20%,
UCSB,"16,945","8,750","2,048",3.27 - 3.78,3.13 - 3.59,52%,23%,
UCSC,"9,988","5,709","1,132",3.06 - 3.65,2.92 - 3.50,57%,20%,
UCSD,"18,510","9,657","2,880",3.43 - 3.86,3.30 - 3.77,52%,30%,
