Campus,Applicants,Admits,Enrollees,Admit GPA range,Enrollee GPA range,Admit rate,Yield rate,
UCB,"18,618","4,315","2,715",3.65 - 3.94,3.62 - 3.94,23%,63%,
UCD,"16,784","10,244","3,321",3.29 - 3.78,3.18 - 3.62,61%,32%,
UCI,"19,557","10,308","2,975",3.35 - 3.82,3.26 - 3.69,53%,29%,
UCLA,"21,871","5,531","3,166",3.63 - 3.93,3.59 - 3.92,25%,57%,
UCM,"3,473","1,770",156,2.92 - 3.51,2.79 - 3.45,51%,9%,
UCR,"10,626","6,950","1,368",2.96 - 3.57,2.79 - 3.36,65%,20%,
UCSB,"16,846","9,376","2,212",3.28 - 3.80,3.15 - 3.61,56%,24%,
UCSC,"10,126","6,014","1,234",3.05 - 3.65,2.88 - 3.46,59%,21%,
UCSD,"17,792","9,556","2,865",3.33 - 3.86,3.22 - 3.74,54%,30%,
