Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Social Sciences,School of Social Sciences,Human developmental sciences with specialization in equity and diversity,9,6,4,3.49 - 3.76,masked,67%,67%,
Social Sciences,School of Arts & Humanities,Japanese studies,64,48,7,3.45 - 3.86,3.07 - 3.48,75%,15%,
Social Sciences,School of Social Sciences,Political science,600,460,85,3.44 - 3.91,3.20 - 3.75,77%,18%,
Social Sciences,School of Social Sciences,Political science - american politics,38,32,5,3.59 - 3.90,3.17 - 3.90,84%,16%,
Social Sciences,School of Social Sciences,Political science - international relations,123,85,16,3.42 - 3.83,3.37 - 3.82,69%,19%,
Social Sciences,School of Social Sciences,Political science - public law,162,114,29,3.42 - 3.90,3.19 - 3.79,70%,25%,
Social Sciences,School of Social Sciences,Political science - public policy,56,45,7,3.46 - 3.86,3.44 - 3.77,80%,16%,
Social Sciences,School of Social Sciences,"Political science /race, ethnicity and politics",25,20,4,3.37 - 3.91,masked,80%,20%,
Social Sciences,School of Social Sciences,Political science/data analytics,93,88,19,3.51 - 3.88,3.29 - 3.91,95%,22%,
Social Sciences,School of Social Sciences,Psychology,"1,489","1,063",317,3.39 - 3.88,3.34 - 3.84,71%,30%,
Social Sciences,School of Social Sciences,Psychology with a specialization in clinical psychology,170,117,46,3.40 - 3.84,3.37 - 3.83,69%,39%,
Social Sciences,School of Social Sciences,Psychology with a specialization in cognitive psychology,42,33,11,3.37 - 3.92,3.56 - 3.93,79%,33%,
Social Sciences,School of Social Sciences,Psychology with a specialization in developmental psychology,58,33,13,3.23 - 3.86,3.16 - 3.80,57%,39%,
Social Sciences,School of Social Sciences,Psychology with a specialization in human health,52,40,22,3.44 - 3.87,3.39 - 3.83,77%,55%,
Social Sciences,School of Social Sciences,Psychology with a specialization in social psychology,45,22,7,3.39 - 3.86,3.33 - 3.66,49%,32%,
Social Sciences,School of Social Sciences,Sociology,699,560,78,3.42 - 3.91,3.17 - 3.68,80%,14%,
Social Sciences,School of Social Sciences,Sociology - culture and communications,39,30,12,3.33 - 3.87,3.24 - 3.89,77%,40%,
Social Sciences,School of Social Sciences,Sociology - economy and society,53,39,12,3.43 - 3.83,3.47 - 3.73,74%,31%,
Social Sciences,School of Social Sciences,Sociology - law and society,170,117,32,3.27 - 3.87,3.13 - 3.82,69%,27%,
Social Sciences,School of Social Sciences,Sociology - science and medicine,57,49,10,3.41 - 3.89,3.34 - 3.96,86%,20%,
Social Sciences,School of Social Sciences,Sociology - social inequality,31,21,5,3.40 - 3.86,3.28 - 3.47,68%,24%,
Social Sciences,School of Social Sciences,Urban studies & planning,83,60,16,3.33 - 3.83,3.53 - 3.79,72%,27%,
