Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,School of Arts & Humanities,Art history/criticism,56,32,10,3.49 - 3.77,3.27 - 3.60,57%,31%,
Arts & Humanities,School of Arts & Humanities,Drama,131,54,23,3.50 - 3.85,3.48 - 3.90,41%,43%,
Arts & Humanities,School of Arts & Humanities,History,280,160,19,3.55 - 3.90,3.06 - 3.64,57%,12%,
Arts & Humanities,School of Social Sciences,Linguistics,118,60,13,3.47 - 3.81,3.05 - 3.76,51%,22%,
Arts & Humanities,School of Social Sciences,Linguistics - languages studies,26,17,7,3.50 - 3.82,3.37 - 3.93,65%,41%,
Arts & Humanities,School of Social Sciences,Linguistics (cognition & language),23,16,4,3.40 - 3.91,masked,70%,25%,
Arts & Humanities,School of Arts & Humanities,"Literature, english/american",148,82,15,3.45 - 3.84,3.13 - 3.56,55%,18%,
Arts & Humanities,School of Arts & Humanities,Literature/writing,112,60,20,3.42 - 3.79,3.29 - 3.68,54%,33%,
Arts & Humanities,School of Arts & Humanities,Music,38,16,5,3.24 - 3.84,3.06 - 3.24,42%,31%,
Arts & Humanities,School of Arts & Humanities,Philosophy,173,88,6,3.47 - 3.86,3.24 - 3.61,51%,7%,
Arts & Humanities,School of Arts & Humanities,Religious studies,16,8,3,3.07 - 3.65,masked,50%,38%,
Arts & Humanities,School of Arts & Humanities,Studio art,109,52,19,3.55 - 3.80,3.29 - 3.76,48%,37%,
Arts & Humanities,School of Arts & Humanities,Visual arts - media,194,88,28,3.46 - 3.86,3.43 - 3.81,45%,32%,
Business,School of Social Sciences,Management science,220,119,52,3.53 - 3.87,3.41 - 3.76,54%,44%,
Computer Science,Jacobs School of Engineering,Computer science,808,207,104,3.68 - 3.92,3.63 - 3.88,26%,50%,
Education,School of Physical Sciences,Mathematics/secondary education,29,12,4,3.48 - 3.88,masked,41%,33%,
Engineering,Jacobs School of Engineering,Aerospace engineering,140,41,11,3.63 - 3.89,3.49 - 3.69,29%,27%,
Engineering,Jacobs School of Engineering,Bioengineering,104,27,12,3.72 - 3.92,3.69 - 3.90,26%,44%,
Engineering,Jacobs School of Engineering,Bioengineering (biotech),47,22,10,3.56 - 3.94,3.52 - 3.82,47%,45%,
Engineering,Jacobs School of Engineering,Bioengineering: biosystems,21,11,4,3.71 - 3.88,masked,52%,36%,
Engineering,Jacobs School of Engineering,Chemical engineering,163,45,13,3.79 - 4.00,3.70 - 3.92,28%,29%,
Engineering,Jacobs School of Engineering,Computer engineering,201,49,23,3.70 - 3.91,3.68 - 3.89,24%,47%,
Engineering,Jacobs School of Engineering,Electrical engineering - bs,319,110,47,3.57 - 3.88,3.47 - 3.77,34%,43%,
Engineering,Jacobs School of Engineering,Environmental engineering,73,28,9,3.61 - 3.81,3.64 - 3.79,38%,32%,
Engineering,Jacobs School of Engineering,Mechanical engineering,428,91,18,3.76 - 3.98,3.69 - 3.92,21%,20%,
Engineering,Jacobs School of Engineering,Nanoengineering,46,27,9,3.51 - 3.67,3.45 - 3.66,59%,33%,
Engineering,Jacobs School of Engineering,Structural engineering,148,57,31,3.44 - 3.73,3.29 - 3.62,39%,54%,
Life Sciences,School of Biological Sciences,Biochemistry & cell biology,426,215,96,3.48 - 3.85,3.29 - 3.73,50%,45%,
Life Sciences,School of Biological Sciences,Biology,486,234,95,3.40 - 3.81,3.29 - 3.73,48%,41%,
Life Sciences,School of Biological Sciences,Biology - bioinformatics,19,10,6,3.28 - 3.60,3.20 - 3.40,53%,60%,
Life Sciences,School of Biological Sciences,"Ecology, behavior & evolution",73,34,15,3.50 - 3.83,3.23 - 3.68,47%,44%,
Life Sciences,School of Physical Sciences,Environmental systems - earth sciences,40,11,4,3.13 - 3.51,masked,28%,36%,
Life Sciences,School of Physical Sciences,Environmental systems - environmental policy,38,9,4,3.46 - 3.63,masked,24%,44%,
Life Sciences,School of Biological Sciences,Human biology,524,270,144,3.41 - 3.78,3.31 - 3.76,52%,53%,
Life Sciences,School of Biological Sciences,Marine biology,76,25,16,3.14 - 3.81,3.23 - 3.72,33%,64%,
Life Sciences,School of Biological Sciences,Microbiology,88,49,26,3.33 - 3.74,3.17 - 3.55,56%,53%,
Life Sciences,School of Biological Sciences,Molecular biology,120,68,22,3.49 - 3.86,3.24 - 3.75,57%,32%,
Life Sciences,School of Biological Sciences,Physiology & neuroscience,272,140,55,3.40 - 3.80,3.32 - 3.76,51%,39%,
Other Health Science,Herbert Wertheim School of Public Health,Global health,55,32,13,3.52 - 3.83,3.52 - 3.62,58%,41%,
Other/Interdisciplinary,School of Social Sciences,Cognitive science,117,58,21,3.45 - 3.85,3.32 - 3.69,50%,36%,
Other/Interdisciplinary,School of Social Sciences,Communication arts,"1,015",510,157,3.46 - 3.89,3.31 - 3.72,50%,31%,
Other/Interdisciplinary,School of Arts & Humanities,Interdisciplinary computer & the arts,7,4,3,masked,masked,57%,75%,
Other/Interdisciplinary,School of Social Sciences,International studies - economics,171,79,37,3.40 - 3.86,3.30 - 3.70,46%,47%,
Other/Interdisciplinary,School of Social Sciences,International studies - history,14,6,3,3.56 - 3.83,masked,43%,50%,
Other/Interdisciplinary,School of Social Sciences,International studies - political science,120,55,11,3.51 - 3.82,3.30 - 3.76,46%,20%,
Other/Interdisciplinary,School of Social Sciences,International studies - sociology,57,22,4,3.58 - 3.83,masked,39%,18%,
Other/Interdisciplinary,School of Physical Sciences,Pre-mathematics - computer science,143,122,68,3.45 - 3.81,3.32 - 3.80,85%,56%,
Physical Sciences/Math,School of Physical Sciences,Applied mathematics,181,121,31,3.54 - 3.89,3.22 - 3.69,67%,26%,
Physical Sciences/Math,School of Physical Sciences,Chemistry,286,159,54,3.41 - 3.81,3.20 - 3.75,56%,34%,
Physical Sciences/Math,School of Physical Sciences,Chemistry - biochemistry,133,84,41,3.40 - 3.72,3.21 - 3.66,63%,49%,
Physical Sciences/Math,School of Physical Sciences,Mathematics,258,145,42,3.51 - 3.89,3.36 - 3.87,56%,29%,
Physical Sciences/Math,School of Physical Sciences,Mathematics - applied science,21,15,3,3.60 - 3.90,masked,71%,20%,
Physical Sciences/Math,School of Physical Sciences,Mathematics/economics,238,137,48,3.58 - 3.91,3.45 - 3.79,58%,35%,
Physical Sciences/Math,School of Physical Sciences,Natural sciences,53,26,12,3.31 - 3.71,3.46 - 3.70,49%,46%,
Physical Sciences/Math,School of Physical Sciences,Pharmacological chemistry,81,49,24,3.45 - 3.77,3.26 - 3.76,60%,49%,
Physical Sciences/Math,School of Physical Sciences,Physics,127,71,17,3.44 - 3.90,3.02 - 3.51,56%,24%,
Physical Sciences/Math,School of Physical Sciences,Physics (specialty in materials physics),13,8,3,2.84 - 3.70,masked,62%,38%,
Physical Sciences/Math,School of Physical Sciences,Physics with specialization in computational physics,12,7,3,3.72 - 3.88,masked,58%,43%,
Physical Sciences/Math,School of Physical Sciences,Probability and statistics,122,81,23,3.62 - 3.90,3.57 - 3.84,66%,28%,
Public Health,Herbert Wertheim School of Public Health,Public health,183,86,39,3.38 - 3.78,3.17 - 3.71,47%,45%,
Social Sciences,School of Social Sciences,Anthropology,140,64,13,3.49 - 3.79,3.10 - 3.60,46%,20%,
Social Sciences,School of Social Sciences,Anthropology(concentration in sociocultral anthropology),164,75,13,3.44 - 3.84,2.91 - 3.36,46%,17%,
Social Sciences,School of Arts & Humanities,Chinese studies,76,22,3,3.43 - 3.81,masked,29%,14%,
Social Sciences,School of Social Sciences,Economics,"2,299","1,252",456,3.57 - 3.90,3.45 - 3.82,54%,36%,
Social Sciences,School of Arts & Humanities,Japanese studies,68,23,3,3.54 - 3.81,masked,34%,13%,
Social Sciences,School of Social Sciences,Political science,434,252,44,3.45 - 3.83,3.19 - 3.53,58%,17%,
Social Sciences,School of Social Sciences,Political science - american politics,34,19,7,3.45 - 3.87,3.13 - 3.46,56%,37%,
Social Sciences,School of Social Sciences,Political science - international relations,187,112,31,3.43 - 3.83,3.15 - 3.52,60%,28%,
Social Sciences,School of Social Sciences,Political science - political theory,16,6,3,3.17 - 3.61,masked,38%,50%,
Social Sciences,School of Social Sciences,Political science - public law,98,52,13,3.47 - 3.79,3.16 - 3.56,53%,25%,
Social Sciences,School of Social Sciences,Political science - public policy,55,28,6,3.43 - 3.77,3.10 - 3.75,51%,21%,
