Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - studio,102,66,12,3.32 - 3.77,3.24 - 3.48,65%,18%,
Arts & Humanities,College Of Letters & science,Art history,94,56,7,3.33 - 3.80,3.13 - 3.38,60%,13%,
Arts & Humanities,College Of Letters & science,Classics,14,11,3,3.26 - 3.75,masked,79%,27%,
Arts & Humanities,College Of Letters & science,"Comparative studies - language, society, & culture",19,9,3,3.03 - 3.82,masked,47%,33%,
Arts & Humanities,College Of Letters & science,Dance,19,7,4,3.33 - 3.61,masked,37%,57%,
Arts & Humanities,College Of Letters & science,English,447,262,42,3.23 - 3.75,3.12 - 3.57,59%,16%,
Arts & Humanities,College Of Letters & science,Film studies,309,173,55,3.26 - 3.73,3.18 - 3.57,56%,32%,
Arts & Humanities,College Of Letters & science,History,332,223,37,3.29 - 3.80,3.08 - 3.63,67%,17%,
Arts & Humanities,College Of Letters & science,Japanese,50,33,3,3.16 - 3.66,masked,66%,9%,
Arts & Humanities,College Of Letters & science,Linguistics,126,86,7,3.28 - 3.81,3.13 - 3.48,68%,8%,
Arts & Humanities,College Of Letters & science,Philosophy,259,163,22,3.25 - 3.75,3.06 - 3.23,63%,13%,
Arts & Humanities,College Of Letters & science,Religious studies,26,11,3,3.28 - 3.69,masked,42%,27%,
Arts & Humanities,College Of Letters & science,Spanish,66,32,6,3.08 - 3.68,3.03 - 3.54,48%,19%,
Arts & Humanities,College Of Letters & science,Theater,118,59,14,3.18 - 3.75,3.12 - 3.66,50%,24%,
Business,College Of Letters & science,Actuarial science,156,126,36,3.49 - 3.90,3.22 - 3.70,81%,29%,
Computer Science,College Of Engineering,Computer science,907,42,7,3.75 - 3.94,3.54 - 3.78,5%,17%,
Engineering,College Of Engineering,Chemical engineering,837,110,14,3.76 - 4.00,3.67 - 3.92,13%,13%,
Engineering,College Of Engineering,Computer engineering,167,26,4,3.69 - 3.94,masked,16%,15%,
Engineering,College Of Engineering,Electrical engineering,333,45,5,3.80 - 4.00,3.53 - 3.91,14%,11%,
Life Sciences,College Of Letters & science,Biological sciences,"1,442",533,108,3.28 - 3.71,3.12 - 3.54,37%,20%,
Life Sciences,College Of Letters & science,Environmental studies,225,124,40,3.17 - 3.65,3.08 - 3.48,55%,32%,
Other/Interdisciplinary,College Of Letters & science,Communication studies,"1,238",781,274,3.22 - 3.71,3.07 - 3.57,63%,35%,
Other/Interdisciplinary,College Of Letters & science,Global studies,244,152,42,3.17 - 3.63,2.99 - 3.49,62%,28%,
Physical Sciences/Math,College Of Letters & science,Chemistry,549,347,56,3.28 - 3.73,3.20 - 3.54,63%,16%,
Physical Sciences/Math,College Of Letters & science,Financial mathematics & statistics,125,93,31,3.26 - 3.86,3.15 - 3.71,74%,33%,
Physical Sciences/Math,College Of Letters & science,Geology,92,54,17,3.31 - 3.65,3.16 - 3.44,59%,31%,
Physical Sciences/Math,College Of Letters & science,Mathematical sciences,99,73,13,3.27 - 3.76,3.19 - 3.38,74%,18%,
Physical Sciences/Math,College Of Letters & science,Mathematics,421,271,25,3.27 - 3.75,3.11 - 3.44,64%,9%,
Physical Sciences/Math,College Of Letters & science,Physics,295,207,73,3.27 - 3.80,3.17 - 3.55,70%,35%,
Physical Sciences/Math,College Of Letters & science,Statistical science,118,97,16,3.43 - 3.88,3.21 - 3.53,82%,16%,
Social Sciences,College Of Letters & science,Anthropology,361,221,40,3.19 - 3.69,3.05 - 3.51,61%,18%,
Social Sciences,College Of Letters & science,Asian studies,60,33,4,3.10 - 3.58,masked,55%,12%,
Social Sciences,College Of Letters & science,Biopsychology,167,115,37,3.23 - 3.75,3.16 - 3.60,69%,32%,
Social Sciences,College Of Letters & science,Chicano studies,34,17,4,3.20 - 3.54,masked,50%,24%,
Social Sciences,College Of Letters & science,Economics,"1,700",909,182,3.32 - 3.79,3.19 - 3.60,53%,20%,
Social Sciences,College Of Letters & science,Economics and accounting,"1,495",913,268,3.38 - 3.85,3.24 - 3.68,61%,29%,
Social Sciences,College Of Letters & science,Feminist studies,63,35,3,3.30 - 3.78,masked,56%,9%,
Social Sciences,College Of Letters & science,Geography,80,56,14,3.25 - 3.76,3.09 - 3.36,70%,25%,
Social Sciences,College Of Letters & science,Middle eastern studies,27,15,3,3.04 - 3.79,masked,56%,20%,
Social Sciences,College Of Letters & science,Political science,728,444,77,3.23 - 3.76,3.02 - 3.42,61%,17%,
Social Sciences,College Of Letters & science,Psychological and brain science,244,128,27,3.26 - 3.71,3.16 - 3.50,52%,21%,
Social Sciences,College Of Letters & science,Psychology,"1,388",921,267,3.28 - 3.77,3.17 - 3.63,66%,29%,
Social Sciences,College Of Letters & science,Sociology,880,533,127,3.22 - 3.71,3.09 - 3.47,61%,24%,
