Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Physical Sciences/Math,College Of Letters & science,Chemistry,147,122,38,3.32 - 3.83,3.24 - 3.58,83%,31%,
Physical Sciences/Math,College Of Letters & science,Geology,33,23,9,3.36 - 3.83,3.33 - 3.82,70%,39%,
Physical Sciences/Math,College Of Letters & science,Mathematics,144,96,16,3.44 - 3.89,3.29 - 3.83,67%,17%,
Physical Sciences/Math,College Of Letters & science,Mathematics & Science Computation,47,31,3,3.67 - 3.92,redacted,66%,10%,
Physical Sciences/Math,College Of Letters & science,Physics,104,62,6,3.41 - 3.80,3.42 - 3.61,60%,10%,
Physical Sciences/Math,College Of Letters & science,Statistics,210,175,49,3.49 - 3.92,3.43 - 3.81,83%,28%,
Public Admin,College Of Agric & environ sciences,Community & Regional Development,41,27,7,3.23 - 3.64,3.28 - 3.43,66%,26%,
Social Sciences,College Of Agric & environ sciences,Human Development,171,119,68,3.31 - 3.81,3.33 - 3.75,70%,57%,
Social Sciences,College Of Letters & science,Anthropology,210,147,33,3.36 - 3.89,3.41 - 3.91,70%,22%,
Social Sciences,College Of Letters & science,Chicana/0 Studies,18,14,4,3.31 - 3.72,redacted,78%,29%,
Social Sciences,College Of Letters & science,International Relations,158,120,17,3.40 - 3.87,3.30 - 3.90,76%,14%,
Social Sciences,College Of Letters & science,Political Science - Public Service,140,106,25,3.36 - 3.79,3.18 - 3.81,76%,24%,
Social Sciences,College Of Letters & science,Sociology/Organizational Studies,100,55,12,3.26 - 3.78,3.19 - 3.76,55%,22%,
Undeclared,College Of Agric & environ sciences,Undeclared/Exploratory Agricultural Science,167,61,30,3.42 - 3.86,3.43 - 3.83,37%,49%,
