Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Humanities Division,Applied linguistics and multilingualism,44,37,11,3.00 - 3.65,3.20 - 3.78,84%,30%,
Arts & Humanities,Arts Division,Art,207,164,18,3.15 - 3.75,3.03 - 3.56,79%,11%,
Arts & Humanities,Arts Division,Art and design: games and playable media,95,37,24,2.89 - 3.61,2.84 - 3.46,39%,65%,
Arts & Humanities,Humanities Division,Art history,75,61,7,3.06 - 3.72,3.08 - 3.59,81%,11%,
Arts & Humanities,Arts Division,Film and digital media,516,430,91,3.09 - 3.73,2.84 - 3.69,83%,21%,
Arts & Humanities,Humanities Division,History,281,238,42,3.01 - 3.71,2.59 - 3.48,85%,18%,
Arts & Humanities,Humanities Division,Language studies,77,63,14,2.92 - 3.67,2.82 - 3.55,82%,22%,
Arts & Humanities,Humanities Division,Linguistics,114,94,11,2.95 - 3.64,2.66 - 3.09,82%,12%,
Arts & Humanities,Humanities Division,Literature,423,333,53,3.13 - 3.73,2.86 - 3.66,79%,16%,
Arts & Humanities,Arts Division,Music,63,45,6,3.00 - 3.63,2.90 - 3.58,71%,13%,
Arts & Humanities,Humanities Division,Philosophy,219,184,31,3.00 - 3.65,2.76 - 3.29,84%,17%,
Arts & Humanities,Humanities Division,Spanish studies,57,41,4,2.93 - 3.43,masked,72%,10%,
Arts & Humanities,Arts Division,Theater arts,106,81,11,3.17 - 3.70,2.97 - 3.78,76%,14%,
Business,Social Sciences Division,Business management - economics,"1,094",583,78,3.08 - 3.71,2.83 - 3.44,53%,13%,
Computer Science,Baskin School of Engineering,Computer science,"1,462",723,272,3.24 - 3.81,3.10 - 3.60,49%,38%,
Computer Science,Baskin School of Engineering,Computer science: computer game design,158,73,49,3.28 - 3.72,3.20 - 3.59,46%,67%,
Computer Science,Baskin School of Engineering,Technology and information management,50,14,4,3.00 - 3.63,masked,28%,29%,
Education,Social Sciences Division,Science education,106,94,9,2.97 - 3.50,2.89 - 3.16,89%,10%,
Engineering,Baskin School of Engineering,Computer engineering,202,109,23,3.21 - 3.73,2.98 - 3.50,54%,21%,
Engineering,Baskin School of Engineering,Electrical engineering,237,125,18,3.13 - 3.66,2.82 - 3.38,53%,14%,
Engineering,Baskin School of Engineering,Robotics engineering bs,94,44,7,3.12 - 3.56,3.15 - 3.56,47%,16%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- molecular biology,192,99,14,3.17 - 3.73,2.89 - 3.30,52%,14%,
Life Sciences,Physical & Biological Sciences Division,Biology,598,366,62,3.03 - 3.58,2.79 - 3.21,61%,17%,
Life Sciences,Physical & Biological Sciences Division,Ecology & evolution,57,33,13,2.95 - 3.52,2.90 - 3.40,58%,39%,
Life Sciences,Social Sciences Division,Environmental studies,144,28,16,2.95 - 3.57,2.89 - 3.71,19%,57%,
Life Sciences,Physical & Biological Sciences Division,Health sciences,124,44,12,3.08 - 3.70,2.77 - 3.75,35%,27%,
Life Sciences,Physical & Biological Sciences Division,Marine biology,104,51,19,3.04 - 3.53,2.94 - 3.30,49%,37%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, cell, & developmental biology",150,107,18,3.00 - 3.58,2.76 - 3.03,71%,17%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,120,70,10,3.10 - 3.63,2.90 - 3.27,58%,14%,
Life Sciences,Physical & Biological Sciences Division,Plant science,42,17,5,3.14 - 3.70,3.31 - 3.46,40%,29%,
Other/Interdisciplinary,Social Sciences Division,Cognitive science,115,42,12,3.15 - 3.72,2.66 - 3.39,37%,29%,
Other/Interdisciplinary,Social Sciences Division,Legal studies,201,174,36,2.98 - 3.62,2.83 - 3.23,87%,21%,
Physical Sciences/Math,Physical & Biological Sciences Division,Applied physics,5,5,3,2.99 - 3.36,masked,100%,60%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,93,55,17,3.08 - 3.75,3.03 - 3.61,59%,31%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,159,88,11,3.06 - 3.71,3.20 - 3.54,55%,13%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth science,217,202,51,2.86 - 3.60,2.69 - 3.63,93%,25%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,285,211,22,3.12 - 3.75,2.61 - 3.22,74%,10%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,91,60,18,3.01 - 3.79,2.88 - 3.66,66%,30%,
Public Admin,Social Sciences Division,Community studies,182,157,31,2.90 - 3.63,2.77 - 3.23,86%,20%,
Social Sciences,Social Sciences Division,Anthropology,395,341,79,3.08 - 3.72,2.72 - 3.46,86%,23%,
Social Sciences,Social Sciences Division,Earth science/anthropology,5,4,3,masked,masked,80%,75%,
Social Sciences,Social Sciences Division,Economics,540,360,24,3.14 - 3.69,2.76 - 3.15,67%,7%,
Social Sciences,Humanities Division,Ethnic studies,75,58,13,2.92 - 3.51,2.82 - 3.52,77%,22%,
Social Sciences,Social Sciences Division,Global economics,52,24,4,3.25 - 3.81,masked,46%,17%,
Social Sciences,Social Sciences Division,Latin american & latino studies,27,24,9,2.89 - 3.42,3.12 - 3.41,89%,38%,
Social Sciences,Social Sciences Division,Politics,582,471,79,2.95 - 3.65,2.58 - 3.24,81%,17%,
Social Sciences,Social Sciences Division,Psychology,"1,113",477,123,3.12 - 3.78,2.91 - 3.64,43%,26%,
Social Sciences,Social Sciences Division,Sociology,731,533,107,2.92 - 3.58,2.67 - 3.23,73%,20%,
Social Sciences,Humanities Division,Women's studies,64,56,15,2.98 - 3.64,2.73 - 3.58,88%,27%,
Undeclared,Undergraduate Education,Undeclared,176,68,19,3.09 - 3.71,2.84 - 3.58,39%,28%,
Unknown,Not applicable,Invalid ccm combination,31,5,3,3.08 - 3.79,masked,16%,60%,
