Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,36,21,9,3.52 - 3.90,3.52 - 3.84,58%,43%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,84,55,10,3.29 - 3.75,3.29 - 3.46,65%,18%,
Arts & Humanities,College Of Letters & science,Art - studio,132,105,23,3.36 - 3.82,3.33 - 3.64,80%,22%,
Arts & Humanities,College Of Letters & science,Art history,50,38,5,3.22 - 3.78,3.14 - 3.27,76%,13%,
Arts & Humanities,College Of Letters & science,Chinese,50,38,5,3.39 - 3.92,3.16 - 3.41,76%,13%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,150,113,13,3.28 - 3.76,3.04 - 3.35,75%,12%,
Arts & Humanities,College Of Letters & science,Comparative literature,11,11,3,3.05 - 3.86,masked,100%,27%,
Arts & Humanities,College Of Letters & science,Design,157,128,53,3.27 - 3.83,3.27 - 3.78,82%,41%,
Arts & Humanities,College Of Letters & science,English,390,306,80,3.28 - 3.75,3.15 - 3.62,78%,26%,
Arts & Humanities,College Of Letters & science,History,272,208,56,3.34 - 3.80,3.14 - 3.69,76%,27%,
Arts & Humanities,College Of Letters & science,Japanese,50,33,7,3.29 - 3.76,2.91 - 3.76,66%,21%,
Arts & Humanities,College Of Letters & science,Linguistics,102,82,17,3.26 - 3.83,3.11 - 3.48,80%,21%,
Arts & Humanities,College Of Letters & science,Music,37,26,3,3.28 - 3.72,masked,70%,12%,
Arts & Humanities,College Of Letters & science,Philosophy,196,112,19,3.41 - 3.81,3.32 - 3.66,57%,17%,
Arts & Humanities,College Of Letters & science,Religious studies,13,12,4,3.59 - 3.91,masked,92%,33%,
Arts & Humanities,College Of Letters & science,Spanish,50,35,10,3.28 - 3.73,3.18 - 3.77,70%,29%,
Arts & Humanities,College Of Letters & science,Theatre and dance,57,44,3,3.32 - 3.81,masked,77%,7%,
Business,College Of Agric & environ sciences,Managerial economics,701,566,231,3.36 - 3.82,3.28 - 3.68,81%,41%,
Computer Science,College Of Letters & science,Computer science,"1,128",222,73,3.74 - 3.96,3.67 - 3.91,20%,33%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,54,22,11,3.03 - 3.57,3.02 - 3.40,41%,50%,
Engineering,College Of Engineering,Aerospace science and engineering,140,35,11,3.45 - 3.86,3.33 - 3.73,25%,31%,
Engineering,College Of Engineering,Biochemical engineering,23,13,7,3.45 - 3.90,3.42 - 3.93,57%,54%,
Engineering,College Of Engineering,Biomedical engineering,155,37,14,3.68 - 3.85,3.68 - 3.84,24%,38%,
Engineering,College Of Engineering,Chemical engineering,149,42,15,3.56 - 3.88,3.50 - 3.69,28%,36%,
Engineering,College Of Engineering,Civil engineering,205,83,26,3.54 - 3.89,3.47 - 3.78,40%,31%,
Engineering,College Of Engineering,Computer engineering,125,22,12,3.43 - 3.85,3.40 - 3.72,18%,55%,
Engineering,College Of Engineering,Computer science & engineering,590,40,21,3.50 - 3.85,3.48 - 3.77,7%,53%,
Engineering,College Of Engineering,Engineering,328,116,32,3.56 - 3.88,3.47 - 3.70,35%,28%,
Engineering,College Of Engineering,Environmental engineering,44,14,6,3.56 - 3.89,3.43 - 3.77,32%,43%,
Engineering,College Of Engineering,Materials science,38,15,5,3.48 - 3.87,3.38 - 3.45,39%,33%,
Engineering,College Of Engineering,Mechanical engineering,489,107,50,3.49 - 3.85,3.44 - 3.79,22%,47%,
Life Sciences,College Of Agric & environ sciences,Animal biology,80,54,38,3.07 - 3.60,3.08 - 3.63,68%,70%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,14,7,5,3.23 - 3.82,3.79 - 3.83,50%,71%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,218,146,112,3.11 - 3.60,3.07 - 3.59,67%,77%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,50,29,18,3.51 - 3.89,3.50 - 3.87,58%,62%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,54,42,11,3.20 - 3.58,3.04 - 3.51,78%,26%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,17,14,7,3.04 - 3.42,2.89 - 3.26,82%,50%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,141,92,37,3.26 - 3.73,3.20 - 3.73,65%,40%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,20,10,6,3.17 - 3.61,3.05 - 3.58,50%,60%,
Life Sciences,College Of Agric & environ sciences,Food science,39,31,20,3.14 - 3.66,3.15 - 3.59,79%,65%,
Life Sciences,College Of Agric & environ sciences,Global disease biology,129,86,56,3.04 - 3.53,3.05 - 3.54,67%,65%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,26,14,9,3.26 - 3.49,3.28 - 3.49,54%,64%,
Life Sciences,College Of Agric & environ sciences,Sustainable environmental design,43,33,15,3.12 - 3.68,3.04 - 3.58,77%,45%,
