Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School of Social Sciences,Real estate and development,131,103,44,3.39 - 3.88,3.31 - 3.83,79%,43%,
Arts & Humanities,School of Arts & Humanities,Art history/criticism,42,27,4,3.51 - 3.99,masked,64%,15%,
Arts & Humanities,School of Arts & Humanities,Drama,140,96,26,3.39 - 3.91,3.20 - 3.90,69%,27%,
Arts & Humanities,School of Arts & Humanities,History,288,201,25,3.43 - 3.92,3.22 - 3.76,70%,12%,
Arts & Humanities,School of Social Sciences,Linguistics,60,48,9,3.49 - 3.99,3.43 - 3.72,80%,19%,
Arts & Humanities,School of Social Sciences,Linguistics (specialization in speech and language sciences),39,32,6,3.40 - 3.84,3.24 - 3.57,82%,19%,
Arts & Humanities,School of Arts & Humanities,"Literature, english/american",248,171,20,3.51 - 3.91,3.29 - 3.78,69%,12%,
Arts & Humanities,School of Arts & Humanities,Literature/writing,163,109,20,3.29 - 3.80,3.35 - 3.90,67%,18%,
Arts & Humanities,School of Arts & Humanities,Music,46,29,8,3.14 - 3.76,3.04 - 3.68,63%,28%,
Arts & Humanities,School of Arts & Humanities,Philosophy,194,134,11,3.39 - 3.92,3.18 - 3.66,69%,8%,
Arts & Humanities,School of Arts & Humanities,Speculative design,39,25,8,3.43 - 3.80,3.36 - 3.68,64%,32%,
Arts & Humanities,School of Arts & Humanities,Studio art,149,101,28,3.31 - 3.87,3.37 - 3.88,68%,28%,
Arts & Humanities,School of Arts & Humanities,Visual arts - media,263,164,39,3.44 - 3.88,3.33 - 3.80,62%,24%,
Business,School of Social Sciences,Business economics,"1,379",737,165,3.60 - 3.97,3.35 - 3.88,53%,22%,
Computer Science,Jacobs School of Engineering,Computer science,"1,789",259,98,3.92 - 4.00,3.89 - 4.00,14%,38%,
Computer Science,School of Computing, Information & Data Sciences,Data science,337,166,49,3.77 - 4.00,3.72 - 3.95,49%,30%,
Education,School of Social Sciences,Education sciences,123,84,12,3.50 - 3.87,3.34 - 3.65,68%,14%,
Education,School of Physical Sciences,Mathematics/secondary education,27,7,3,3.37 - 3.82,masked,26%,43%,
Engineering,Jacobs School of Engineering,Aerospace engineering,174,45,14,3.70 - 4.00,3.50 - 3.89,26%,31%,
Engineering,Jacobs School of Engineering,Bioengineering,77,21,9,3.85 - 3.98,3.52 - 3.98,27%,43%,
Engineering,Jacobs School of Engineering,Bioengineering (biotech),39,18,8,3.73 - 3.98,3.66 - 3.86,46%,44%,
Engineering,Jacobs School of Engineering,Bioengineering: biosystems,15,10,4,3.44 - 3.76,masked,67%,40%,
Engineering,Jacobs School of Engineering,Chemical engineering,111,62,16,3.51 - 3.92,3.29 - 3.49,56%,26%,
Engineering,Jacobs School of Engineering,Computer engineering,307,102,46,3.57 - 3.93,3.57 - 3.92,33%,45%,
Engineering,Jacobs School of Engineering,Electrical engineering - bs,278,165,54,3.43 - 3.88,3.31 - 3.71,59%,33%,
Engineering,Jacobs School of Engineering,Mechanical engineering,441,38,8,3.95 - 4.00,3.97 - 4.00,9%,21%,
Engineering,Jacobs School of Engineering,Nanoengineering,19,12,5,3.37 - 3.79,3.25 - 3.39,63%,42%,
Engineering,Jacobs School of Engineering,Structural engineering,147,66,18,3.35 - 3.80,3.20 - 3.50,45%,27%,
Life Sciences,School of Biological Sciences,Biology,809,479,151,3.45 - 3.89,3.38 - 3.78,59%,32%,
Life Sciences,School of Biological Sciences,Biology - bioinformatics,23,15,4,3.47 - 3.70,masked,65%,27%,
Life Sciences,School of Biological Sciences,"Ecology, behavior & evolution",70,35,6,3.28 - 3.72,3.32 - 3.71,50%,17%,
Life Sciences,School of Physical Sciences,Environmental systems - earth sciences,81,56,10,3.28 - 3.80,3.20 - 3.46,69%,18%,
Life Sciences,School of Biological Sciences,"Environmental systems - ecology, behavior, evolution",70,58,18,3.41 - 3.75,3.12 - 3.54,83%,31%,
Life Sciences,School of Physical Sciences,Environmental systems - environmental chemistry,11,9,3,3.43 - 3.61,masked,82%,33%,
