Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,Literatures in english,85,60,4,3.12 - 3.62,masked,71%,7%,
Business,Not applicable,Management and business economics,305,201,9,3.10 - 3.77,2.75 - 3.80,66%,4%,
Engineering,Not applicable,Civil engineering,69,51,3,3.21 - 3.58,masked,74%,6%,
Engineering,Not applicable,Computer science & engineering,456,180,18,3.36 - 3.85,3.23 - 3.47,39%,10%,
Engineering,Not applicable,Mechanical engineering,153,97,17,3.11 - 3.66,3.08 - 3.44,63%,18%,
Life Sciences,Not applicable,Biological sciences,362,148,13,3.16 - 3.73,3.16 - 3.81,41%,9%,
Other/Interdisciplinary,Not applicable,Cognitive science,48,36,4,3.02 - 3.85,masked,75%,11%,
Physical Sciences/Math,Not applicable,Applied mathematics,313,182,10,3.27 - 3.69,3.02 - 3.62,58%,5%,
Public Health,Not applicable,Public health,114,76,7,3.18 - 3.67,2.89 - 3.55,67%,9%,
Social Sciences,Not applicable,Economics,222,156,3,3.30 - 3.81,masked,70%,2%,
Social Sciences,Not applicable,Psychology,520,435,47,3.18 - 3.76,2.97 - 3.54,84%,11%,
Social Sciences,Not applicable,Sociology,158,119,10,3.07 - 3.73,3.01 - 3.51,75%,8%,
Undeclared,Not applicable,Undeclared,545,497,47,3.08 - 3.69,3.01 - 3.57,91%,9%,
Unknown,Not applicable,Invalid ccm combination,84,52,3,3.12 - 3.78,masked,62%,6%,
