Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School of Social Sciences,Real Estate and Development,105,63,25,3.46 - 3.93,3.37 - 3.78,60%,40%,
Arts & Humanities,School of Arts & Humanities,Art History/Criticism,59,42,9,3.40 - 3.98,3.16 - 3.73,71%,21%,
Arts & Humanities,School of Arts & Humanities,Drama,187,135,34,3.41 - 3.82,3.29 - 3.69,72%,25%,
Arts & Humanities,School of Arts & Humanities,History,284,212,24,3.41 - 3.96,3.16 - 3.72,75%,11%,
Arts & Humanities,School of Arts & Humanities,"Literature, English/American",250,196,23,3.34 - 3.85,3.01 - 3.61,78%,12%,
Arts & Humanities,School of Arts & Humanities,Literature/Writing,153,90,13,3.43 - 3.90,3.24 - 3.82,59%,14%,
Arts & Humanities,School of Arts & Humanities,Music,72,46,6,3.33 - 3.85,3.31 - 3.84,64%,13%,
Arts & Humanities,School of Arts & Humanities,Philosophy,233,175,13,3.36 - 3.89,3.27 - 3.80,75%,7%,
Arts & Humanities,School of Arts & Humanities,Speculative Design,53,41,15,3.45 - 3.87,3.17 - 3.83,77%,37%,
Arts & Humanities,School of Arts & Humanities,Studio Art,174,126,34,3.25 - 3.88,3.30 - 3.79,72%,27%,
Arts & Humanities,School of Arts & Humanities,Visual Arts - Media,263,176,63,3.41 - 3.88,3.44 - 3.82,67%,36%,
Computer Science,Jacobs School of Engineering,Computer Science,"2,354",291,175,3.86 - 4.00,3.84 - 3.98,12%,60%,
Education,School of Social Sciences,Education Sciences,161,114,17,3.37 - 3.90,3.52 - 3.93,71%,15%,
Education,School of Physical Sciences,Mathematics/Secondary Education,9,4,3,3.44 - 3.95,redacted,44%,75%,
Engineering,Jacobs School of Engineering,Aerospace Engineering,150,76,32,3.50 - 3.87,3.41 - 3.73,51%,42%,
Engineering,Jacobs School of Engineering,Aerospace Engineering With A Specialization in Astrodynamics and Space App,45,20,5,3.49 - 4.00,3.33 - 3.60,44%,25%,
Engineering,Jacobs School of Engineering,Aerospace Engineering With A Specialization in Flight Dynamics and Controls,20,6,4,3.70 - 3.98,redacted,30%,67%,
Engineering,Jacobs School of Engineering,Bioengineering,95,41,14,3.74 - 3.98,3.62 - 3.91,43%,34%,
Engineering,Jacobs School of Engineering,Bioengineering (Biotech),43,22,14,3.45 - 3.86,3.31 - 3.74,51%,64%,
Engineering,Jacobs School of Engineering,Bioengineering: Biosystems,21,16,9,3.57 - 3.80,3.59 - 3.80,76%,56%,
Engineering,Jacobs School of Engineering,Chemical Engineering,136,65,18,3.62 - 3.95,3.35 - 3.76,48%,28%,
Engineering,Jacobs School of Engineering,Computer Engineering,455,137,61,3.70 - 3.97,3.72 - 3.93,30%,45%,
Engineering,Jacobs School of Engineering,Electrical Engineering - BS,412,161,68,3.51 - 3.95,3.40 - 3.82,39%,42%,
Engineering,Jacobs School of Engineering,Mechanical Engineering,546,138,44,3.80 - 4.00,3.74 - 3.91,25%,32%,
Engineering,Jacobs School of Engineering,Mechanical Engineering With A Spec in Controls and Robotics,57,12,4,3.80 - 3.93,redacted,21%,33%,
Engineering,Jacobs School of Engineering,Structural Engineering,163,87,22,3.46 - 3.90,3.33 - 3.88,53%,25%,
Life Sciences,Jacobs School of Engineering,Bioengineering - Bioinformatics,18,9,5,3.70 - 3.94,3.70 - 3.78,50%,56%,
Life Sciences,School of Biological Sciences,Biology - Bioinformatics,40,28,9,3.44 - 3.90,3.49 - 3.87,70%,32%,
Life Sciences,School of Biological Sciences,"Ecology, Behavior & Evolution",74,33,7,3.36 - 3.92,3.30 - 3.93,45%,21%,
Life Sciences,School of Biological Sciences,"Environmental Systems - Ecology, Behavior, Evolution",56,28,7,3.33 - 3.88,3.22 - 3.61,50%,25%,
