Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,School of Arts & Humanities,Art history/criticism,63,28,7,3.34 - 3.82,3.15 - 3.32,44%,25%,
Arts & Humanities,School of Arts & Humanities,Drama,105,46,14,3.50 - 3.84,3.41 - 3.67,44%,30%,
Arts & Humanities,School of Arts & Humanities,History,287,152,30,3.52 - 3.81,3.40 - 3.70,53%,20%,
Arts & Humanities,School of Social Sciences,Linguistics,85,51,11,3.43 - 3.80,3.40 - 3.62,60%,22%,
Arts & Humanities,School of Social Sciences,Linguistics - languages studies,30,17,5,3.37 - 3.76,3.36 - 3.41,57%,29%,
Arts & Humanities,School of Social Sciences,Linguistics (cognition & language),27,16,4,3.45 - 3.76,masked,59%,25%,
Arts & Humanities,School of Arts & Humanities,"Literature, english/american",184,82,11,3.45 - 3.78,3.18 - 3.63,45%,13%,
Arts & Humanities,School of Arts & Humanities,Literature/writing,139,67,15,3.53 - 3.87,3.23 - 3.68,48%,22%,
Arts & Humanities,School of Arts & Humanities,Music,60,28,7,3.33 - 3.73,3.52 - 3.72,47%,25%,
Arts & Humanities,School of Arts & Humanities,Philosophy,205,108,9,3.44 - 3.82,3.39 - 3.65,53%,8%,
Arts & Humanities,School of Arts & Humanities,Studio art,100,45,13,3.40 - 3.73,3.45 - 3.69,45%,29%,
Arts & Humanities,School of Arts & Humanities,Visual arts - media,241,111,39,3.49 - 3.81,3.40 - 3.73,46%,35%,
Business,School of Social Sciences,Management science,211,128,50,3.48 - 3.87,3.43 - 3.75,61%,39%,
Computer Science,Jacobs School of Engineering,Computer science,578,279,183,3.45 - 3.82,3.38 - 3.72,48%,66%,
Education,School of Physical Sciences,Mathematics/secondary education,34,17,7,3.37 - 3.76,3.46 - 3.75,50%,41%,
Engineering,Jacobs School of Engineering,Aerospace engineering,97,31,9,3.54 - 3.83,3.52 - 3.81,32%,29%,
Engineering,Jacobs School of Engineering,Bioengineering,90,29,11,3.78 - 4.00,3.85 - 4.00,32%,38%,
Engineering,Jacobs School of Engineering,Bioengineering (biotech),41,18,7,3.65 - 3.92,3.48 - 3.85,44%,39%,
Engineering,Jacobs School of Engineering,Chemical engineering,220,129,54,3.50 - 3.87,3.44 - 3.73,59%,42%,
Engineering,Jacobs School of Engineering,Computer engineering,227,115,69,3.45 - 3.85,3.38 - 3.80,51%,60%,
Engineering,Jacobs School of Engineering,Electrical engineering - bs,497,312,175,3.44 - 3.82,3.35 - 3.70,63%,56%,
Engineering,Jacobs School of Engineering,Engineering science,11,6,3,3.35 - 3.74,masked,55%,50%,
Engineering,Jacobs School of Engineering,Environmental engineering,94,50,14,3.45 - 3.79,3.44 - 3.64,53%,28%,
Engineering,Jacobs School of Engineering,Mechanical engineering,309,73,22,3.71 - 3.92,3.63 - 3.84,24%,30%,
Engineering,Jacobs School of Engineering,Nanoengineering,64,36,17,3.39 - 3.74,3.34 - 3.62,56%,47%,
Engineering,Jacobs School of Engineering,Structural engineering,209,110,49,3.41 - 3.76,3.34 - 3.69,53%,45%,
Life Sciences,School of Biological Sciences,Biochemistry & cell biology,367,205,88,3.48 - 3.87,3.41 - 3.79,56%,43%,
Life Sciences,Jacobs School of Engineering,Bioengineering - bioinformatics,27,18,13,3.29 - 3.64,3.26 - 3.54,67%,72%,
Life Sciences,School of Biological Sciences,Biology,492,236,101,3.43 - 3.77,3.39 - 3.71,48%,43%,
Life Sciences,School of Biological Sciences,"Ecology, behavior & evolution",52,18,8,3.42 - 3.81,3.31 - 3.60,35%,44%,
Life Sciences,School of Biological Sciences,"Environmental systems - ecology, behavior, evolution",55,22,8,3.45 - 3.89,3.46 - 3.72,40%,36%,
Life Sciences,School of Biological Sciences,Human biology,481,239,117,3.48 - 3.82,3.40 - 3.78,50%,49%,
Life Sciences,School of Biological Sciences,Marine biology,58,18,8,3.39 - 3.62,3.44 - 3.60,31%,44%,
Life Sciences,School of Biological Sciences,Microbiology,70,41,14,3.50 - 3.71,3.46 - 3.62,59%,34%,
Life Sciences,School of Biological Sciences,Molecular biology,93,49,14,3.56 - 3.92,3.46 - 3.84,53%,29%,
Life Sciences,School of Physical Sciences,Physics - biophysics,5,5,4,3.44 - 3.65,masked,100%,80%,
Life Sciences,School of Biological Sciences,Physiology & neuroscience,232,122,47,3.41 - 3.79,3.28 - 3.73,53%,39%,
Other/Interdisciplinary,School of Social Sciences,Cognitive science,120,57,20,3.44 - 3.81,3.34 - 3.65,48%,35%,
Other/Interdisciplinary,School of Social Sciences,Communication arts,974,506,184,3.44 - 3.85,3.30 - 3.67,52%,36%,
Other/Interdisciplinary,School of Arts & Humanities,Interdisciplinary computer & the arts,24,12,9,3.35 - 3.71,3.35 - 3.69,50%,75%,
Other/Interdisciplinary,School of Social Sciences,International studies -  economics,166,96,28,3.54 - 3.86,3.29 - 3.73,58%,29%,
Other/Interdisciplinary,School of Social Sciences,International studies -  linguistics,33,14,6,3.46 - 3.71,3.34 - 3.66,42%,43%,
Other/Interdisciplinary,School of Social Sciences,International studies -  political science,98,53,13,3.40 - 3.85,3.28 - 3.66,54%,25%,
Other/Interdisciplinary,School of Social Sciences,International studies -  sociology,68,31,9,3.46 - 3.79,3.37 - 3.59,46%,29%,
Other/Interdisciplinary,School of Physical Sciences,Pre-mathematics - computer science,16,8,4,3.68 - 4.00,masked,50%,50%,
Physical Sciences/Math,School of Physical Sciences,Applied mathematics,115,61,12,3.51 - 3.85,3.46 - 3.72,53%,20%,
Physical Sciences/Math,School of Physical Sciences,Chemistry,291,123,38,3.47 - 3.78,3.38 - 3.73,42%,31%,
Physical Sciences/Math,School of Physical Sciences,Chemistry - biochemistry,153,96,42,3.52 - 3.85,3.32 - 3.75,63%,44%,
Physical Sciences/Math,School of Physical Sciences,Mathematics,177,90,22,3.46 - 3.88,3.29 - 3.77,51%,24%,
Physical Sciences/Math,School of Physical Sciences,Mathematics - applied science,34,15,4,3.68 - 3.85,masked,44%,27%,
Physical Sciences/Math,School of Physical Sciences,Mathematics/economics,298,186,32,3.56 - 3.91,3.40 - 3.69,62%,17%,
Physical Sciences/Math,School of Physical Sciences,Natural sciences,57,31,8,3.37 - 3.86,3.67 - 3.86,54%,26%,
Physical Sciences/Math,School of Physical Sciences,Pharmacological chemistry,125,62,30,3.42 - 3.84,3.38 - 3.83,50%,48%,
Physical Sciences/Math,School of Physical Sciences,Physics,92,49,13,3.47 - 3.80,3.46 - 3.67,53%,27%,
Physical Sciences/Math,School of Physical Sciences,Probability and statistics,34,25,5,3.52 - 3.86,3.22 - 3.53,74%,20%,
Social Sciences,School of Social Sciences,Anthropology,180,77,21,3.50 - 3.75,3.12 - 3.59,43%,27%,
Social Sciences,School of Social Sciences,Anthropology(concentration in sociocultral anthropology),231,117,24,3.44 - 3.81,3.36 - 3.72,51%,21%,
Social Sciences,School of Social Sciences,Economics,"2,106","1,272",460,3.49 - 3.89,3.32 - 3.73,60%,36%,
Social Sciences,School of Arts & Humanities,Japanese studies,53,25,5,3.46 - 3.82,3.07 - 3.77,47%,20%,
Social Sciences,School of Social Sciences,Political science,418,238,43,3.53 - 3.85,3.30 - 3.71,57%,18%,
Social Sciences,School of Social Sciences,Political science - american politics,41,26,9,3.54 - 3.76,3.19 - 3.62,63%,35%,
Social Sciences,School of Social Sciences,Political science - comparative politics,17,10,3,3.24 - 3.80,masked,59%,30%,
Social Sciences,School of Social Sciences,Political science - international relations,219,114,29,3.46 - 3.86,3.31 - 3.71,52%,25%,
Social Sciences,School of Social Sciences,Political science - public law,102,52,15,3.38 - 3.78,3.23 - 3.56,51%,29%,
Social Sciences,School of Social Sciences,Political science - public policy,45,23,6,3.34 - 3.65,3.03 - 3.40,51%,26%,
Social Sciences,School of Social Sciences,Pre-human development,67,35,19,3.37 - 3.70,3.33 - 3.62,52%,54%,
Social Sciences,School of Social Sciences,Psychology,"1,102",511,159,3.48 - 3.82,3.36 - 3.67,46%,31%,
Social Sciences,School of Social Sciences,Sociology,622,315,82,3.43 - 3.80,3.26 - 3.64,51%,26%,
Social Sciences,School of Social Sciences,Urban studies & planning,77,43,15,3.46 - 3.83,3.33 - 3.58,56%,35%,
Undeclared,Undergraduate Education,Undeclared,133,94,34,3.40 - 3.83,3.29 - 3.78,71%,36%,
Undeclared,Undergraduate Education,Undeclared - physical science,20,6,3,3.29 - 3.88,masked,30%,50%,
