Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,English,107,58,3,2.86 - 3.47,masked,54%,5%,
Arts & Humanities,Not applicable,History,70,48,8,2.68 - 3.29,2.47 - 3.26,69%,17%,
Arts & Humanities,Not applicable,Spanish,33,14,3,2.84 - 3.41,masked,42%,21%,
Business,Not applicable,Management and business economics,227,119,7,2.95 - 3.61,2.58 - 3.67,52%,6%,
Engineering,Not applicable,Computer science & engineering,448,124,24,2.96 - 3.61,2.81 - 3.69,28%,19%,
Engineering,Not applicable,Mechanical engineering,215,119,18,3.04 - 3.44,2.71 - 3.14,55%,15%,
Life Sciences,Not applicable,Biological sciences,461,154,11,3.11 - 3.63,3.06 - 3.60,33%,7%,
Other/Interdisciplinary,Not applicable,Cognitive science,62,34,7,2.80 - 3.37,2.89 - 3.35,55%,21%,
Physical Sciences/Math,Not applicable,Chemical sciences,119,43,5,3.08 - 3.58,3.18 - 3.54,36%,12%,
Physical Sciences/Math,Not applicable,Physics,54,23,5,2.94 - 3.50,2.94 - 3.44,43%,22%,
Public Health,Not applicable,Public health,99,32,4,3.06 - 3.61,masked,32%,13%,
Social Sciences,Not applicable,Anthropology,66,44,3,2.82 - 3.46,masked,67%,7%,
Social Sciences,Not applicable,Psychology,397,262,33,2.89 - 3.45,2.79 - 3.21,66%,13%,
Undeclared,Not applicable,Undeclared,281,263,15,2.85 - 3.43,2.76 - 3.11,94%,6%,
