Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Arts Division,Art,136,92,26,3.16 - 3.57,2.85 - 3.38,68%,28%,
Arts & Humanities,Humanities Division,Art history,60,35,9,3.18 - 3.67,3.08 - 3.57,58%,26%,
Arts & Humanities,Arts Division,Film and digital media,257,155,40,3.08 - 3.66,2.90 - 3.51,60%,26%,
Arts & Humanities,Humanities Division,History,234,151,34,3.01 - 3.66,2.95 - 3.43,65%,23%,
Arts & Humanities,Humanities Division,Language studies,81,52,9,3.13 - 3.70,3.03 - 3.70,64%,17%,
Arts & Humanities,Humanities Division,Linguistics,106,79,21,3.21 - 3.74,3.17 - 3.68,75%,27%,
Arts & Humanities,Humanities Division,Literature,440,296,72,3.06 - 3.60,2.84 - 3.30,67%,24%,
Arts & Humanities,Arts Division,Music,46,27,4,3.13 - 3.68,masked,59%,15%,
Arts & Humanities,Humanities Division,Philosophy,186,112,28,3.17 - 3.67,2.97 - 3.51,60%,25%,
Arts & Humanities,Arts Division,Theater arts,64,40,12,3.07 - 3.68,3.01 - 3.52,63%,30%,
Business,Social Sciences Division,Business management - economics,594,282,38,3.12 - 3.64,2.77 - 3.45,47%,13%,
Computer Science,Baskin School of Engineering,Computer science,270,109,27,3.11 - 3.62,3.01 - 3.51,40%,25%,
Computer Science,Baskin School of Engineering,Computer  science: computer game design,128,43,23,3.19 - 3.61,3.12 - 3.52,34%,53%,
Engineering,Baskin School of Engineering,Bioengineering,96,37,6,3.11 - 3.74,3.14 - 3.67,39%,16%,
Engineering,Baskin School of Engineering,Computer engineering,110,34,4,3.31 - 3.76,masked,31%,12%,
Engineering,Baskin School of Engineering,Electrical engineering,179,72,5,3.16 - 3.60,3.00 - 3.07,40%,7%,
Engineering,Baskin School of Engineering,Robotics engineering bs,52,17,4,3.07 - 3.61,masked,33%,24%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- molecular biology,214,111,20,3.11 - 3.68,2.75 - 3.39,52%,18%,
Life Sciences,Physical & Biological Sciences Division,Bioinformatics,16,8,4,3.18 - 3.65,masked,50%,50%,
Life Sciences,Physical & Biological Sciences Division,Ecology & evolution,48,29,12,3.14 - 3.64,3.18 - 3.78,60%,41%,
Life Sciences,Social Sciences Division,Environmental studies,152,98,45,3.06 - 3.56,3.11 - 3.61,64%,46%,
Life Sciences,Social Sciences Division,Environmental studies/biology,39,23,7,2.95 - 3.33,3.21 - 3.37,59%,30%,
Life Sciences,Social Sciences Division,Environmental studies/economics,45,29,7,3.00 - 3.59,2.64 - 3.66,64%,24%,
Life Sciences,Physical & Biological Sciences Division,Health sciences,106,48,11,3.01 - 3.46,2.89 - 3.22,45%,23%,
Life Sciences,Physical & Biological Sciences Division,Marine biology,86,26,14,3.01 - 3.61,2.98 - 3.61,30%,54%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, cell, & developmental biology",90,52,12,3.08 - 3.66,2.98 - 3.39,58%,23%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,104,43,8,3.15 - 3.64,2.59 - 3.31,41%,19%,
Other/Interdisciplinary,Social Sciences Division,Cognitive science,81,58,12,3.09 - 3.67,2.82 - 3.19,72%,21%,
Other/Interdisciplinary,Social Sciences Division,Legal studies,76,51,15,2.93 - 3.56,2.87 - 3.22,67%,29%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,75,52,20,3.12 - 3.64,3.05 - 3.42,69%,38%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,249,167,33,2.95 - 3.43,2.77 - 3.06,67%,20%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth science,67,39,14,3.07 - 3.56,2.94 - 3.48,58%,36%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,167,109,22,3.02 - 3.60,2.77 - 3.34,65%,20%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,94,63,14,3.06 - 3.68,2.81 - 3.26,67%,22%,
Social Sciences,Social Sciences Division,Anthropology,347,256,81,3.04 - 3.55,2.80 - 3.41,74%,32%,
Social Sciences,Social Sciences Division,Economics,503,255,16,3.18 - 3.67,2.67 - 3.50,51%,6%,
Social Sciences,Social Sciences Division,Global economics,67,38,4,3.43 - 3.71,masked,57%,11%,
Social Sciences,Social Sciences Division,Latin american & latino studies - sociology,6,5,3,2.76 - 3.25,masked,83%,60%,
Social Sciences,Social Sciences Division,Politics,342,227,37,3.11 - 3.69,2.88 - 3.41,66%,16%,
Social Sciences,Social Sciences Division,Psychology,861,285,70,3.15 - 3.66,3.01 - 3.55,33%,25%,
Social Sciences,Social Sciences Division,Sociology,577,385,94,3.03 - 3.52,2.82 - 3.34,67%,24%,
Social Sciences,Humanities Division,Women's studies,55,26,9,3.20 - 3.60,3.14 - 3.27,47%,35%,
Unknown,Not applicable,Invalid ccm combination,52,49,42,2.92 - 3.33,2.93 - 3.38,94%,86%,
