Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - studio,120,78,14,3.20 - 3.71,3.24 - 3.61,65%,18%,
Arts & Humanities,College Of Letters & science,Art history,80,48,6,3.15 - 3.75,2.55 - 3.80,60%,13%,
Arts & Humanities,College Of Letters & science,Dance,17,6,4,3.05 - 3.28,masked,35%,67%,
Arts & Humanities,College Of Letters & science,English,489,334,61,3.22 - 3.75,3.04 - 3.62,68%,18%,
Arts & Humanities,College Of Letters & science,Film studies,274,165,56,3.24 - 3.71,3.18 - 3.61,60%,34%,
Arts & Humanities,College Of Letters & science,History,327,242,33,3.18 - 3.81,3.05 - 3.46,74%,14%,
Arts & Humanities,College Of Letters & science,Linguistics,140,112,16,3.25 - 3.80,3.01 - 3.61,80%,14%,
Arts & Humanities,College Of Letters & science,Music,42,25,3,3.38 - 3.72,masked,60%,12%,
Arts & Humanities,College Of Letters & science,Philosophy,270,183,20,3.30 - 3.80,2.91 - 3.30,68%,11%,
Arts & Humanities,College Of Letters & science,Religious studies,19,4,3,masked,masked,21%,75%,
Arts & Humanities,College Of Letters & science,Spanish,66,39,5,3.19 - 3.81,3.65 - 3.90,59%,13%,
Arts & Humanities,College Of Letters & science,Theater,121,78,16,3.15 - 3.82,3.05 - 3.62,64%,21%,
Business,College Of Letters & science,Actuarial science,160,127,49,3.40 - 3.88,3.27 - 3.76,79%,39%,
Computer Science,College Of Engineering,Computer science,"1,002",92,14,3.81 - 4.00,3.65 - 3.88,9%,15%,
Engineering,College Of Engineering,Chemical engineering,752,121,18,3.67 - 4.00,3.62 - 3.82,16%,15%,
Engineering,College Of Engineering,Computer engineering,195,29,3,3.77 - 4.00,masked,15%,10%,
Engineering,College Of Engineering,Electrical engineering,310,58,4,3.76 - 3.94,masked,19%,7%,
Life Sciences,College Of Letters & science,Biological sciences,"1,493",590,115,3.32 - 3.75,3.21 - 3.62,40%,19%,
Life Sciences,College Of Letters & science,Environmental studies,225,138,46,3.11 - 3.59,3.03 - 3.39,61%,33%,
Other/Interdisciplinary,College Of Letters & science,Communication studies,"1,256",878,321,3.25 - 3.75,3.16 - 3.62,70%,37%,
Other/Interdisciplinary,College Of Letters & science,Global studies,241,153,36,3.23 - 3.80,2.99 - 3.50,63%,24%,
Physical Sciences/Math,College Of Letters & science,Chemistry,519,345,51,3.32 - 3.75,3.25 - 3.65,66%,15%,
Physical Sciences/Math,College Of Letters & science,Financial mathematics & statistics,133,98,35,3.36 - 3.83,3.27 - 3.67,74%,36%,
Physical Sciences/Math,College Of Letters & science,Geology,85,53,14,3.18 - 3.59,3.19 - 3.58,62%,26%,
Physical Sciences/Math,College Of Letters & science,Mathematical sciences,96,71,16,3.26 - 3.87,3.16 - 3.46,74%,23%,
Physical Sciences/Math,College Of Letters & science,Mathematics,351,248,38,3.34 - 3.76,3.21 - 3.53,71%,15%,
Physical Sciences/Math,College Of Letters & science,Physics,306,205,53,3.23 - 3.80,3.12 - 3.54,67%,26%,
Physical Sciences/Math,College Of Letters & science,Statistical science,159,130,21,3.40 - 3.84,3.16 - 3.62,82%,16%,
Social Sciences,College Of Letters & science,Anthropology,388,272,51,3.21 - 3.76,3.11 - 3.54,70%,19%,
Social Sciences,College Of Letters & science,Asian studies,79,56,3,2.99 - 3.65,masked,71%,5%,
Social Sciences,College Of Letters & science,Biopsychology,175,125,39,3.21 - 3.74,3.09 - 3.65,71%,31%,
Social Sciences,College Of Letters & science,Economics,"1,634",942,201,3.40 - 3.85,3.23 - 3.63,58%,21%,
Social Sciences,College Of Letters & science,Economics and accounting,"1,446",919,291,3.41 - 3.85,3.29 - 3.68,64%,32%,
Social Sciences,College Of Letters & science,Feminist studies,67,38,3,3.24 - 3.65,masked,57%,8%,
Social Sciences,College Of Letters & science,Geography,85,65,17,3.24 - 3.75,3.02 - 3.36,76%,26%,
Social Sciences,College Of Letters & science,Political science,763,537,99,3.21 - 3.73,3.03 - 3.46,70%,18%,
Social Sciences,College Of Letters & science,Psychological and brain science,262,139,47,3.25 - 3.72,3.25 - 3.58,53%,34%,
Social Sciences,College Of Letters & science,Psychology,"1,277",783,222,3.29 - 3.79,3.12 - 3.52,61%,28%,
Social Sciences,College Of Letters & science,Sociology,909,654,150,3.22 - 3.77,3.04 - 3.50,72%,23%,
