Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,53,39,16,3.29 - 3.64,3.22 - 3.63,74%,41%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,94,66,18,3.28 - 3.81,3.09 - 3.59,70%,27%,
Arts & Humanities,College Of Letters & science,Art - studio,144,111,32,3.24 - 3.76,3.13 - 3.64,77%,29%,
Arts & Humanities,College Of Letters & science,Art history,56,40,9,3.13 - 3.66,3.08 - 3.60,71%,23%,
Arts & Humanities,College Of Letters & science,Chinese,25,18,3,3.29 - 3.82,masked,72%,17%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,124,82,11,3.35 - 3.78,3.24 - 3.71,66%,13%,
Arts & Humanities,College Of Letters & science,Design,158,118,59,3.33 - 3.79,3.25 - 3.68,75%,50%,
Arts & Humanities,College Of Letters & science,English,383,289,63,3.26 - 3.80,3.11 - 3.59,75%,22%,
Arts & Humanities,College Of Letters & science,German,5,3,3,masked,masked,60%,100%,
Arts & Humanities,College Of Letters & science,History,244,167,35,3.42 - 3.81,3.20 - 3.70,68%,21%,
Arts & Humanities,College Of Letters & science,Japanese,56,45,7,3.33 - 3.78,2.99 - 3.43,80%,16%,
Arts & Humanities,College Of Letters & science,Linguistics,122,78,15,3.47 - 3.82,3.37 - 3.72,64%,19%,
Arts & Humanities,College Of Letters & science,Philosophy,184,123,19,3.45 - 3.85,3.35 - 3.85,67%,15%,
Arts & Humanities,College Of Letters & science,Spanish,46,36,4,3.15 - 3.71,masked,78%,11%,
Arts & Humanities,College Of Letters & science,Theatre and dance,45,33,6,3.16 - 3.63,2.92 - 3.21,73%,18%,
Business,College Of Agric & environ sciences,Managerial economics,730,585,213,3.36 - 3.80,3.23 - 3.65,80%,36%,
Computer Science,College Of Letters & science,Computer science,"1,102",257,84,3.69 - 3.94,3.59 - 3.87,23%,33%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,57,27,13,3.18 - 3.72,3.26 - 3.68,47%,48%,
Engineering,College Of Engineering,Aerospace science and engineering,143,30,10,3.53 - 3.89,3.49 - 3.87,21%,33%,
Engineering,College Of Engineering,Biological systems engineering,22,4,3,masked,masked,18%,75%,
Engineering,College Of Engineering,Biomedical engineering,154,30,9,3.46 - 3.93,3.36 - 3.88,19%,30%,
Engineering,College Of Engineering,Chemical engineering,172,41,11,3.54 - 3.93,3.55 - 3.84,24%,27%,
Engineering,College Of Engineering,Civil engineering,232,74,24,3.55 - 3.88,3.51 - 3.71,32%,32%,
Engineering,College Of Engineering,Computer engineering,142,13,5,3.51 - 3.85,3.49 - 3.85,9%,38%,
Engineering,College Of Engineering,Computer science & engineering,568,34,18,3.52 - 3.86,3.46 - 3.82,6%,53%,
Engineering,College Of Engineering,Engineering,379,145,43,3.48 - 3.86,3.48 - 3.82,38%,30%,
Engineering,College Of Engineering,Environmental engineering,38,7,3,3.53 - 3.74,masked,18%,43%,
Engineering,College Of Engineering,Materials science,44,16,5,3.54 - 3.82,3.50 - 3.67,36%,31%,
Engineering,College Of Engineering,Mechanical engineering,560,113,46,3.48 - 3.84,3.47 - 3.68,20%,41%,
Life Sciences,College Of Agric & environ sciences,Animal biology,73,45,35,3.10 - 3.60,3.08 - 3.63,62%,78%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,15,5,5,3.06 - 3.33,3.06 - 3.33,33%,100%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,247,146,100,3.19 - 3.63,3.19 - 3.58,59%,68%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,41,24,19,3.20 - 3.66,3.23 - 3.66,59%,79%,
Life Sciences,College Of Agric & environ sciences,Entomology,10,7,4,3.33 - 3.64,masked,70%,57%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,70,47,18,3.24 - 3.64,3.21 - 3.55,67%,38%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,22,11,5,3.03 - 3.38,3.01 - 3.24,50%,45%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,128,80,40,3.12 - 3.57,3.03 - 3.44,63%,50%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,30,19,9,3.17 - 3.69,3.19 - 3.73,63%,47%,
Life Sciences,College Of Agric & environ sciences,Food science,53,32,21,3.14 - 3.71,3.03 - 3.64,60%,66%,
Life Sciences,College Of Agric & environ sciences,Global disease biology,115,82,53,3.05 - 3.50,3.01 - 3.44,71%,65%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,27,14,9,3.30 - 3.60,3.42 - 3.71,52%,64%,
Life Sciences,College Of Agric & environ sciences,Sustainable environmental design,34,24,12,3.35 - 3.61,3.36 - 3.62,71%,50%,
Life Sciences,College Of Agric & environ sciences,Viticulture & enology,26,11,9,3.30 - 3.67,3.25 - 3.81,42%,82%,
Life Sciences,College Of Agric & environ sciences,"Wildlife, fish & conservation biology",51,29,17,3.03 - 3.42,3.06 - 3.44,57%,59%,
Life Sciences,College Of Biological sciences,Biochemistry- molecular biology,453,253,89,3.40 - 3.87,3.33 - 3.73,56%,35%,
Life Sciences,College Of Biological sciences,Biological sciences,836,359,138,3.29 - 3.77,3.24 - 3.75,43%,38%,
Life Sciences,College Of Biological sciences,Cell biology,99,41,8,3.31 - 3.78,3.16 - 3.86,41%,20%,
Life Sciences,College Of Biological sciences,"Evolution, ecology & biodiversity",51,22,8,3.30 - 3.79,3.27 - 3.73,43%,36%,
Life Sciences,College Of Biological sciences,Genetics and genomics,75,38,16,3.46 - 3.89,3.42 - 3.84,51%,42%,
Life Sciences,College Of Biological sciences,Microbiology,93,43,13,3.32 - 3.78,3.40 - 3.50,46%,30%,
Life Sciences,College Of Biological sciences,"Neurobiology, physiology, & behavior",306,154,56,3.33 - 3.81,3.26 - 3.72,50%,36%,
Life Sciences,College Of Biological sciences,Plant biology,14,9,7,3.14 - 3.43,3.07 - 3.35,64%,78%,
Other Health Science,College Of Letters & science,Pharmaceutical chemistry,92,81,48,3.19 - 3.71,3.18 - 3.58,88%,59%,
Other/Interdisciplinary,College Of Agric & environ sciences,Clinical nutrition,96,69,50,3.20 - 3.66,3.15 - 3.64,72%,72%,
Other/Interdisciplinary,College Of Agric & environ sciences,Ecological management and restoration,10,6,3,3.52 - 3.79,masked,60%,50%,
Other/Interdisciplinary,College Of Agric & environ sciences,International agricultural development,12,7,4,3.01 - 3.19,masked,58%,57%,
Other/Interdisciplinary,College Of Agric & environ sciences,Nutritional science,123,62,32,3.18 - 3.65,3.12 - 3.58,50%,52%,
Other/Interdisciplinary,College Of Agric & environ sciences,Sustainable agriculture and food systems,36,22,13,3.21 - 3.67,3.10 - 3.52,61%,59%,
Other/Interdisciplinary,College Of Letters & science,Cognitive science,191,129,52,3.30 - 3.72,3.22 - 3.55,68%,40%,
Other/Interdisciplinary,College Of Letters & science,Communication,711,458,110,3.34 - 3.82,3.24 - 3.68,64%,24%,
Other/Interdisciplinary,College Of Letters & science,Science & technology studies,11,9,4,3.24 - 3.63,masked,82%,44%,
Physical Sciences/Math,College Of Agric & environ sciences,Atmospheric sciences,12,6,3,3.10 - 3.88,masked,50%,50%,
Physical Sciences/Math,College Of Agric & environ sciences,Hydrology,7,7,6,3.23 - 3.57,3.21 - 3.61,100%,86%,
Physical Sciences/Math,College Of Letters & science,Applied mathematics,148,121,25,3.43 - 3.91,3.15 - 3.50,82%,21%,
Physical Sciences/Math,College Of Letters & science,Applied physics,76,59,13,3.19 - 3.65,3.13 - 3.37,78%,22%,
Physical Sciences/Math,College Of Letters & science,Chemistry,255,203,79,3.13 - 3.66,3.12 - 3.57,80%,39%,
