Broad discipline,College/School,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Humanities Division,Applied linguistics and multilingualism,25,22,6,2.99 - 3.68,2.94 - 3.35,88%,27%,
Arts & Humanities,Arts Division,Art,164,126,21,3.07 - 3.67,2.87 - 3.35,77%,17%,
Arts & Humanities,Arts Division,Art and design: games and playable media,86,22,15,3.03 - 3.60,2.96 - 3.59,26%,68%,
Arts & Humanities,Humanities Division,Art history,64,49,9,3.05 - 3.54,2.75 - 3.48,77%,18%,
Arts & Humanities,Arts Division,Film and digital media,395,290,78,3.00 - 3.66,2.87 - 3.43,73%,27%,
Arts & Humanities,Humanities Division,History,248,209,30,3.00 - 3.64,2.95 - 3.59,84%,14%,
Arts & Humanities,Humanities Division,Language studies,97,62,7,2.84 - 3.53,2.54 - 3.22,64%,11%,
Arts & Humanities,Humanities Division,Linguistics,92,79,13,2.95 - 3.73,2.83 - 3.15,86%,16%,
Arts & Humanities,Humanities Division,Literature,352,270,44,3.03 - 3.68,2.85 - 3.49,77%,16%,
Arts & Humanities,Arts Division,Music,53,32,5,2.86 - 3.49,2.96 - 3.35,60%,16%,
Arts & Humanities,Humanities Division,Philosophy,197,164,25,2.98 - 3.69,2.76 - 3.29,83%,15%,
Arts & Humanities,Humanities Division,Spanish studies,46,35,3,3.01 - 3.62,masked,76%,9%,
Arts & Humanities,Arts Division,Theater arts,102,76,12,3.10 - 3.75,2.89 - 3.60,75%,16%,
Business,Social Sciences Division,Business management - economics,897,478,50,3.13 - 3.70,2.83 - 3.34,53%,10%,
Computer Science,Baskin School of Engineering,Computer science,"1,359",626,201,3.24 - 3.78,3.09 - 3.57,46%,32%,
Computer Science,Baskin School of Engineering,Computer science: computer game design,187,70,44,3.06 - 3.57,3.01 - 3.53,37%,63%,
Education,Social Sciences Division,Science education,18,16,4,2.91 - 3.23,masked,89%,25%,
Engineering,Baskin School of Engineering,Bioengineering,88,48,8,2.99 - 3.67,2.71 - 3.41,55%,17%,
Engineering,Baskin School of Engineering,Computer engineering,162,74,16,3.19 - 3.65,3.01 - 3.36,46%,22%,
Engineering,Baskin School of Engineering,Electrical engineering,266,139,22,3.14 - 3.68,2.87 - 3.54,52%,16%,
Engineering,Baskin School of Engineering,Robotics engineering bs,104,50,5,3.28 - 3.79,3.28 - 3.66,48%,10%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- molecular biology,152,91,16,3.12 - 3.76,2.87 - 3.40,60%,18%,
Life Sciences,Physical & Biological Sciences Division,Biology,630,355,64,3.00 - 3.57,2.92 - 3.26,56%,18%,
Life Sciences,Physical & Biological Sciences Division,Ecology & evolution,63,37,12,2.96 - 3.50,2.79 - 3.37,59%,32%,
Life Sciences,Social Sciences Division,Environmental studies,103,30,20,2.98 - 3.73,2.88 - 3.67,29%,67%,
Life Sciences,Social Sciences Division,Environmental studies/biology,27,9,3,3.15 - 3.40,masked,33%,33%,
Life Sciences,Social Sciences Division,Environmental studies/earth science,23,3,3,masked,masked,13%,100%,
Life Sciences,Social Sciences Division,Environmental studies/economics,32,6,4,2.97 - 3.59,masked,19%,67%,
Life Sciences,Physical & Biological Sciences Division,Health sciences,127,75,16,3.05 - 3.57,2.90 - 3.19,59%,21%,
Life Sciences,Physical & Biological Sciences Division,Marine biology,96,45,21,2.97 - 3.74,2.82 - 3.47,47%,47%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, cell, & developmental biology",104,72,25,2.90 - 3.53,2.82 - 3.18,69%,35%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,115,64,11,3.06 - 3.61,2.78 - 3.10,56%,17%,
Life Sciences,Physical & Biological Sciences Division,Plant science,36,11,5,2.76 - 3.51,2.70 - 3.02,31%,45%,
Other/Interdisciplinary,Social Sciences Division,Cognitive science,135,61,19,3.09 - 3.72,2.91 - 3.37,45%,31%,
Other/Interdisciplinary,Social Sciences Division,Legal studies,112,84,21,2.83 - 3.56,2.57 - 3.56,75%,25%,
Physical Sciences/Math,Physical & Biological Sciences Division,Applied physics,5,3,3,masked,masked,60%,100%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,63,35,8,3.13 - 3.70,3.23 - 3.73,56%,23%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,233,95,13,3.16 - 3.71,2.85 - 3.20,41%,14%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth science,87,69,24,2.88 - 3.43,2.66 - 3.24,79%,35%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,377,319,52,3.01 - 3.67,2.69 - 3.37,85%,16%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,130,83,15,3.12 - 3.68,2.91 - 3.48,64%,18%,
Public Admin,Social Sciences Division,Community studies,194,151,36,2.89 - 3.65,2.77 - 3.16,78%,24%,
Social Sciences,Social Sciences Division,Anthropology,341,283,59,2.93 - 3.66,2.86 - 3.51,83%,21%,
Social Sciences,Social Sciences Division,Economics,756,453,40,3.12 - 3.67,2.87 - 3.25,60%,9%,
Social Sciences,Humanities Division,Ethnic studies,50,42,4,2.87 - 3.71,masked,84%,10%,
Social Sciences,Social Sciences Division,Global economics,56,24,3,3.26 - 3.72,masked,43%,13%,
Social Sciences,Social Sciences Division,Latin american & latino studies,19,17,3,3.07 - 3.60,masked,89%,18%,
Social Sciences,Social Sciences Division,Politics,576,484,72,3.01 - 3.70,2.56 - 3.38,84%,15%,
Social Sciences,Social Sciences Division,Psychology,"1,046",431,132,3.11 - 3.75,2.92 - 3.64,41%,31%,
Social Sciences,Social Sciences Division,Sociology,724,490,106,2.96 - 3.59,2.82 - 3.39,68%,22%,
Social Sciences,Humanities Division,Women's studies,68,54,9,3.04 - 3.62,3.05 - 3.71,79%,17%,
Undeclared,Undergraduate Education,Undeclared,151,47,13,3.17 - 3.58,3.13 - 3.38,31%,28%,
