Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Arts Division,Art,202,151,33,3.24 - 3.71,3.11 - 3.49,75%,22%,
Arts & Humanities,Arts Division,Art and design: games and playable media,86,25,13,3.10 - 3.66,3.10 - 3.57,29%,52%,
Arts & Humanities,Humanities Division,Art history,69,56,13,3.05 - 3.78,3.06 - 3.60,81%,23%,
Arts & Humanities,Arts Division,Film and digital media,465,366,79,3.09 - 3.75,2.94 - 3.44,79%,22%,
Arts & Humanities,Humanities Division,History,293,241,52,3.05 - 3.72,2.86 - 3.52,82%,22%,
Arts & Humanities,Humanities Division,Language studies,60,42,9,3.02 - 3.48,2.86 - 3.12,70%,21%,
Arts & Humanities,Humanities Division,Linguistics,86,74,13,3.14 - 3.80,3.17 - 3.80,86%,18%,
Arts & Humanities,Humanities Division,Literature,347,283,55,3.03 - 3.71,2.91 - 3.67,82%,19%,
Arts & Humanities,Arts Division,Music,71,47,6,3.09 - 3.70,3.16 - 3.90,66%,13%,
Arts & Humanities,Humanities Division,Philosophy,187,152,26,3.07 - 3.73,2.78 - 3.38,81%,17%,
Arts & Humanities,Arts Division,Theater arts,109,81,17,3.27 - 3.78,2.88 - 3.64,74%,21%,
Business,Social Sciences Division,Business management - economics,"1,136",675,105,3.18 - 3.79,3.09 - 3.61,59%,16%,
Computer Science,Baskin School of Engineering,Computer science,"1,601",507,206,3.43 - 3.91,3.23 - 3.75,32%,41%,
Computer Science,Baskin School of Engineering,Computer science: computer game design,172,72,37,3.16 - 3.78,3.11 - 3.77,42%,51%,
Computer Science,Baskin School of Engineering,Technology and information management,48,23,7,3.12 - 3.79,3.31 - 3.66,48%,30%,
Education,Social Sciences Division,"Education, democracy, and justice",16,16,16,2.82 - 3.58,2.82 - 3.58,100%,100%,
Engineering,Baskin School of Engineering,Computer engineering,201,123,30,3.25 - 3.75,3.12 - 3.67,61%,24%,
Engineering,Baskin School of Engineering,Electrical engineering,253,129,24,3.21 - 3.70,3.09 - 3.50,51%,19%,
Engineering,Baskin School of Engineering,Robotics engineering bs,96,49,12,3.26 - 3.71,2.98 - 3.40,51%,24%,
Life Sciences,Physical & Biological Sciences Division,Biochemistry- molecular biology,210,113,24,3.20 - 3.83,2.96 - 3.30,54%,21%,
Life Sciences,Physical & Biological Sciences Division,Biology,784,449,100,3.06 - 3.63,2.88 - 3.36,57%,22%,
Life Sciences,Physical & Biological Sciences Division,Ecology & evolution,70,43,18,3.06 - 3.63,2.98 - 3.58,61%,42%,
Life Sciences,Social Sciences Division,Environmental studies,123,45,19,3.11 - 3.57,3.11 - 3.38,37%,42%,
Life Sciences,Social Sciences Division,Environmental studies/economics,29,12,4,3.29 - 3.78,masked,41%,33%,
Life Sciences,Physical & Biological Sciences Division,Health sciences,166,81,11,3.22 - 3.74,3.07 - 3.37,49%,14%,
Life Sciences,Physical & Biological Sciences Division,Marine biology,126,60,16,3.04 - 3.44,2.74 - 3.19,48%,27%,
Life Sciences,Physical & Biological Sciences Division,"Molecular, cell, & developmental biology",107,76,12,3.16 - 3.76,2.75 - 3.11,71%,16%,
Life Sciences,Physical & Biological Sciences Division,Neuroscience,130,56,13,3.25 - 3.75,2.87 - 3.46,43%,23%,
Life Sciences,Physical & Biological Sciences Division,Plant science,39,15,5,3.00 - 3.60,3.07 - 3.73,38%,33%,
Other/Interdisciplinary,Social Sciences Division,Cognitive science,140,52,17,3.07 - 3.76,2.59 - 3.46,37%,33%,
Other/Interdisciplinary,Social Sciences Division,Legal studies,187,143,35,2.97 - 3.62,2.76 - 3.54,76%,24%,
Physical Sciences/Math,Physical & Biological Sciences Division,Astrophysics,73,52,18,3.16 - 3.65,2.84 - 3.56,71%,35%,
Physical Sciences/Math,Physical & Biological Sciences Division,Chemistry,185,84,12,3.16 - 3.76,2.75 - 3.20,45%,14%,
Physical Sciences/Math,Physical & Biological Sciences Division,Earth science,137,117,32,3.03 - 3.51,3.04 - 3.37,85%,27%,
Physical Sciences/Math,Physical & Biological Sciences Division,Mathematics,212,166,27,3.17 - 3.80,2.84 - 3.50,78%,16%,
Physical Sciences/Math,Physical & Biological Sciences Division,Physics,86,61,14,3.29 - 3.74,2.97 - 3.43,71%,23%,
Public Admin,Social Sciences Division,Community studies,159,126,29,2.99 - 3.59,2.96 - 3.63,79%,23%,
Social Sciences,Social Sciences Division,Anthropology,325,258,77,3.05 - 3.73,2.86 - 3.69,79%,30%,
Social Sciences,Social Sciences Division,Earth science/anthropology,5,5,3,2.93 - 3.12,masked,100%,60%,
Social Sciences,Social Sciences Division,Economics,708,525,62,3.15 - 3.74,2.82 - 3.32,74%,12%,
Social Sciences,Humanities Division,Ethnic studies,71,52,13,2.93 - 3.49,2.51 - 3.18,73%,25%,
Social Sciences,Social Sciences Division,Global economics,55,23,3,3.37 - 3.81,masked,42%,13%,
Social Sciences,Social Sciences Division,Latin american & latino studies,15,8,3,2.73 - 3.29,masked,53%,38%,
Social Sciences,Social Sciences Division,Latin american & latino studies - sociology,17,13,4,2.75 - 3.39,masked,76%,31%,
