Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Not applicable,History,68,28,5,2.99 - 3.51,3.28 - 3.94,41%,18%,
Arts & Humanities,Not applicable,Literatures and cultures,66,22,5,3.01 - 3.42,2.85 - 3.18,33%,23%,
Business,Not applicable,Management,123,54,5,3.14 - 3.81,2.74 - 3.41,44%,9%,
Engineering,Not applicable,Computer science & engineering,136,21,4,2.84 - 3.43,masked,15%,19%,
Engineering,Not applicable,Mechanical engineering,89,39,5,3.05 - 3.48,3.12 - 3.42,44%,13%,
Other/Interdisciplinary,Not applicable,Cognitive science,26,5,3,3.10 - 3.45,masked,19%,60%,
Social Sciences,Not applicable,Economics,242,116,3,3.06 - 3.58,masked,48%,3%,
Social Sciences,Not applicable,Psychology,220,106,25,2.84 - 3.48,2.70 - 3.45,48%,24%,
Undeclared,Not applicable,Undeclared,380,368,37,2.88 - 3.39,2.68 - 3.20,97%,10%,
