Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,51,31,12,3.12 - 3.49,3.00 - 3.31,61%,39%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,58,39,11,3.09 - 3.56,3.06 - 3.62,67%,28%,
Arts & Humanities,College Of Letters & science,Art - studio,98,64,20,3.19 - 3.73,3.13 - 3.66,65%,31%,
Arts & Humanities,College Of Letters & science,Art history,74,59,12,3.33 - 3.76,3.09 - 3.42,80%,20%,
Arts & Humanities,College Of Letters & science,Design,122,82,36,3.27 - 3.66,3.20 - 3.69,67%,44%,
Arts & Humanities,College Of Letters & science,Dramatic art,39,26,11,3.20 - 3.68,3.28 - 3.47,67%,42%,
Arts & Humanities,College Of Letters & science,English,423,292,91,3.22 - 3.73,3.15 - 3.54,69%,31%,
Arts & Humanities,College Of Letters & science,Film studies,78,62,17,3.22 - 3.62,3.21 - 3.41,79%,27%,
Arts & Humanities,College Of Letters & science,History,272,178,59,3.20 - 3.69,3.07 - 3.44,65%,33%,
Arts & Humanities,College Of Letters & science,Japanese,31,25,3,3.28 - 3.61,masked,81%,12%,
Arts & Humanities,College Of Letters & science,Linguistics,83,55,12,3.11 - 3.68,3.03 - 3.21,66%,22%,
Arts & Humanities,College Of Letters & science,Music,51,32,4,3.27 - 3.67,masked,63%,13%,
Arts & Humanities,College Of Letters & science,Philosophy,181,125,30,3.19 - 3.63,3.09 - 3.45,69%,24%,
Arts & Humanities,College Of Letters & science,Spanish,33,27,3,3.17 - 3.67,masked,82%,11%,
Arts & Humanities,College Of Letters & science,Technocultural studies,10,6,4,3.37 - 3.62,masked,60%,67%,
Business,College Of Agric & environ sciences,Pre-managerial economics,435,371,162,3.26 - 3.70,3.15 - 3.56,85%,44%,
Computer Science,College Of Letters & science,Computer science,238,166,76,3.18 - 3.61,3.15 - 3.53,70%,46%,
Engineering,College Of Engineering,Aerospace science and engineering,91,15,7,3.34 - 3.75,3.24 - 3.62,16%,47%,
Engineering,College Of Engineering,Biomedical engineering,135,36,14,3.43 - 3.96,3.26 - 3.46,27%,39%,
Engineering,College Of Engineering,Chemical engineering,144,53,17,3.48 - 3.81,3.37 - 3.64,37%,32%,
Engineering,College Of Engineering,Chemistry/materials science & engineering,20,11,6,3.49 - 3.96,3.44 - 3.57,55%,55%,
Engineering,College Of Engineering,Civil engineering,244,60,29,3.41 - 3.83,3.29 - 3.63,25%,48%,
Engineering,College Of Engineering,Computer engineering,88,21,7,3.42 - 3.78,3.35 - 3.74,24%,33%,
Engineering,College Of Engineering,Computer science & engineering,176,38,13,3.38 - 3.82,3.23 - 3.52,22%,34%,
Engineering,College Of Engineering,Engineering,246,90,27,3.48 - 3.82,3.45 - 3.65,37%,30%,
Engineering,College Of Engineering,Materials science,27,9,3,3.46 - 4.00,masked,33%,33%,
Engineering,College Of Engineering,Mechanical engineering,345,88,41,3.43 - 3.69,3.38 - 3.65,26%,47%,
Life Sciences,College Of Agric & environ sciences,Animal biology,99,62,41,3.18 - 3.65,3.22 - 3.64,63%,66%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,25,19,13,3.30 - 3.64,3.30 - 3.52,76%,68%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,141,81,54,3.08 - 3.57,3.06 - 3.52,57%,67%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,41,21,13,3.33 - 3.93,3.23 - 3.80,51%,62%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,65,44,16,3.10 - 3.69,3.08 - 3.64,68%,36%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,11,8,3,2.99 - 3.68,masked,73%,38%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,109,80,32,3.18 - 3.66,3.19 - 3.58,73%,40%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,25,18,10,3.19 - 3.85,3.14 - 3.75,72%,56%,
Life Sciences,College Of Agric & environ sciences,Food science,68,40,23,3.08 - 3.62,2.99 - 3.49,59%,58%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,24,16,10,3.02 - 3.62,3.03 - 3.58,67%,63%,
Life Sciences,College Of Agric & environ sciences,"Wildlife, fish & conservation biology",42,29,21,3.18 - 3.51,3.19 - 3.49,69%,72%,
Life Sciences,College Of Biological sciences,Biochemistry- molecular biology,551,329,133,3.35 - 3.81,3.26 - 3.69,60%,40%,
Life Sciences,College Of Biological sciences,Biological sciences,788,331,168,3.26 - 3.72,3.19 - 3.63,42%,51%,
