Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,50,31,16,3.26 - 3.69,3.31 - 3.63,62%,52%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,47,33,12,3.35 - 3.79,3.18 - 3.50,70%,36%,
Arts & Humanities,College Of Letters & science,Art - studio,138,100,27,3.38 - 3.83,3.43 - 3.85,72%,27%,
Arts & Humanities,College Of Letters & science,Art history,49,38,5,3.34 - 3.82,2.94 - 3.34,78%,13%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,218,157,15,3.39 - 3.83,3.09 - 3.65,72%,10%,
Arts & Humanities,College Of Letters & science,Comparative literature,15,11,3,3.42 - 3.89,masked,73%,27%,
Arts & Humanities,College Of Letters & science,Design,174,139,61,3.36 - 3.81,3.27 - 3.75,80%,44%,
Arts & Humanities,College Of Letters & science,English,414,315,73,3.36 - 3.82,3.25 - 3.61,76%,23%,
Arts & Humanities,College Of Letters & science,History,257,208,61,3.35 - 3.81,3.11 - 3.62,81%,29%,
Arts & Humanities,College Of Letters & science,Japanese,41,28,6,3.41 - 3.83,3.37 - 3.53,68%,21%,
Arts & Humanities,College Of Letters & science,Linguistics,82,62,10,3.28 - 3.84,2.99 - 3.56,76%,16%,
Arts & Humanities,College Of Letters & science,Music,41,27,4,3.31 - 3.85,masked,66%,15%,
Arts & Humanities,College Of Letters & science,Philosophy,155,119,19,3.29 - 3.77,3.14 - 3.65,77%,16%,
Arts & Humanities,College Of Letters & science,Spanish,44,32,8,3.27 - 3.64,3.19 - 3.50,73%,25%,
Arts & Humanities,College Of Letters & science,Theatre and dance,66,53,7,3.30 - 3.81,3.27 - 3.61,80%,13%,
Business,College Of Agric & environ sciences,Managerial economics,"1,554",864,190,3.48 - 3.86,3.39 - 3.77,56%,22%,
Computer Science,College Of Letters & science,Computer science,"1,709",343,130,3.70 - 3.94,3.60 - 3.90,20%,38%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,44,18,6,3.42 - 3.70,3.18 - 3.57,41%,33%,
Engineering,College Of Engineering,Aerospace science and engineering,133,22,12,3.43 - 3.84,3.45 - 3.66,17%,55%,
Engineering,College Of Engineering,Biomedical engineering,136,24,8,3.53 - 3.77,3.50 - 3.69,18%,33%,
Engineering,College Of Engineering,Chemical engineering,125,29,10,3.55 - 3.90,3.42 - 3.72,23%,34%,
Engineering,College Of Engineering,Civil engineering,244,67,25,3.51 - 3.84,3.44 - 3.65,27%,37%,
Engineering,College Of Engineering,Computer engineering,127,24,8,3.49 - 3.84,3.63 - 3.85,19%,33%,
Engineering,College Of Engineering,Computer science & engineering,188,24,13,3.57 - 3.90,3.56 - 3.72,13%,54%,
Engineering,College Of Engineering,Engineering,261,101,29,3.53 - 3.84,3.49 - 3.78,39%,29%,
Engineering,College Of Engineering,Environmental engineering,41,11,6,3.58 - 3.74,3.54 - 3.76,27%,55%,
Engineering,College Of Engineering,Materials science,37,7,3,3.38 - 3.69,masked,19%,43%,
Engineering,College Of Engineering,Mechanical engineering,443,110,41,3.51 - 3.85,3.39 - 3.75,25%,37%,
Life Sciences,College Of Agric & environ sciences,Animal biology,89,66,52,3.20 - 3.83,3.21 - 3.80,74%,79%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,18,11,10,3.07 - 3.43,3.05 - 3.32,61%,91%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,210,135,91,3.31 - 3.69,3.28 - 3.63,64%,67%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,89,51,20,3.33 - 3.77,3.33 - 3.71,57%,39%,
Life Sciences,College Of Agric & environ sciences,Entomology,10,7,3,3.20 - 3.42,masked,70%,43%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,55,32,12,3.34 - 3.82,3.23 - 3.73,58%,38%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,20,15,5,3.31 - 3.75,3.65 - 3.83,75%,33%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,171,115,49,3.20 - 3.68,3.11 - 3.41,67%,43%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,17,10,6,3.32 - 3.70,3.03 - 3.43,59%,60%,
Life Sciences,College Of Agric & environ sciences,Food science,53,33,21,3.31 - 3.79,3.24 - 3.57,62%,64%,
Life Sciences,College Of Agric & environ sciences,Global disease biology,128,106,69,3.05 - 3.47,2.97 - 3.38,83%,65%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,26,11,10,3.09 - 3.54,3.06 - 3.50,42%,91%,
Life Sciences,College Of Agric & environ sciences,Sustainable environmental design,70,45,15,3.36 - 3.76,3.36 - 3.66,64%,33%,
Life Sciences,College Of Agric & environ sciences,Viticulture & enology,22,8,6,3.38 - 3.83,3.29 - 3.81,36%,75%,
Life Sciences,College Of Agric & environ sciences,"Wildlife, fish & conservation biology",60,45,27,3.20 - 3.72,3.23 - 3.72,75%,60%,
Life Sciences,College Of Biological sciences,Biochemistry- molecular biology,456,263,92,3.42 - 3.90,3.28 - 3.83,58%,35%,
Life Sciences,College Of Biological sciences,Biological sciences,843,406,166,3.36 - 3.78,3.33 - 3.73,48%,41%,
Life Sciences,College Of Biological sciences,Cell biology,97,56,14,3.46 - 3.86,3.30 - 3.71,58%,25%,
Life Sciences,College Of Biological sciences,"Evolution, ecology & biodiversity",43,15,6,3.39 - 3.81,3.09 - 3.44,35%,40%,
Life Sciences,College Of Biological sciences,Genetics and genomics,72,29,14,3.27 - 3.73,3.21 - 3.83,40%,48%,
Life Sciences,College Of Biological sciences,Microbiology,108,57,26,3.37 - 3.77,3.24 - 3.56,53%,46%,
Life Sciences,College Of Biological sciences,"Neurobiology, physiology, & behavior",320,164,71,3.43 - 3.84,3.31 - 3.76,51%,43%,
Life Sciences,College Of Biological sciences,Plant biology,35,14,4,3.51 - 3.75,masked,40%,29%,
Other Health Science,College Of Letters & science,Pharmaceutical chemistry,61,33,13,3.46 - 3.84,3.43 - 3.72,54%,39%,
Other/Interdisciplinary,College Of Agric & environ sciences,Clinical nutrition,80,62,33,3.25 - 3.67,3.28 - 3.64,78%,53%,
Other/Interdisciplinary,College Of Agric & environ sciences,International agricultural development,13,7,3,3.32 - 3.73,masked,54%,43%,
Other/Interdisciplinary,College Of Agric & environ sciences,Nutritional science,101,66,28,3.21 - 3.72,3.08 - 3.60,65%,42%,
Other/Interdisciplinary,College Of Agric & environ sciences,Sustainable agriculture and food systems,29,22,13,3.34 - 3.68,3.48 - 3.66,76%,59%,
Other/Interdisciplinary,College Of Biological sciences,Marine and coastal science,31,9,4,3.36 - 3.88,masked,29%,44%,
Other/Interdisciplinary,College Of Letters & science,Cognitive science,181,148,46,3.32 - 3.79,3.16 - 3.55,82%,31%,
Other/Interdisciplinary,College Of Letters & science,Communication,743,500,88,3.39 - 3.80,3.30 - 3.72,67%,18%,
Physical Sciences/Math,College Of Agric & environ sciences,Atmospheric sciences,19,13,8,3.21 - 3.62,3.18 - 3.65,68%,62%,
Physical Sciences/Math,College Of Letters & science,Applied chemistry,39,34,18,3.26 - 3.69,3.22 - 3.58,87%,53%,
Physical Sciences/Math,College Of Letters & science,Applied mathematics,206,164,34,3.30 - 3.89,3.09 - 3.70,80%,21%,
Physical Sciences/Math,College Of Letters & science,Applied physics,41,21,4,3.51 - 3.78,masked,51%,19%,
Physical Sciences/Math,College Of Letters & science,Chemical physics,6,5,3,3.08 - 3.73,masked,83%,60%,
Physical Sciences/Math,College Of Letters & science,Chemistry,216,175,57,3.26 - 3.73,3.13 - 3.58,81%,33%,
Physical Sciences/Math,College Of Letters & science,Geology,33,25,8,3.15 - 3.71,3.01 - 3.62,76%,32%,
Physical Sciences/Math,College Of Letters & science,Mathematical analytics and operations research,53,43,6,3.47 - 3.94,3.28 - 3.55,81%,14%,
Physical Sciences/Math,College Of Letters & science,Mathematics,224,137,30,3.44 - 3.88,3.28 - 3.73,61%,22%,
Physical Sciences/Math,College Of Letters & science,Mathematics & science computation,49,45,13,3.16 - 3.77,3.13 - 3.44,92%,29%,
Physical Sciences/Math,College Of Letters & science,Physics,125,58,11,3.42 - 3.84,3.21 - 3.59,46%,19%,
Physical Sciences/Math,College Of Letters & science,Statistics,264,232,73,3.45 - 3.91,3.26 - 3.67,88%,31%,
Social Sciences,College Of Agric & environ sciences,Ecological management and restoration,17,14,7,3.20 - 3.74,3.24 - 3.65,82%,50%,
Social Sciences,College Of Agric & environ sciences,Human development,170,105,55,3.28 - 3.65,3.20 - 3.62,62%,52%,
Social Sciences,College Of Letters & science,American studies,16,13,7,3.02 - 3.69,2.85 - 3.55,81%,54%,
Social Sciences,College Of Letters & science,Anthropology,249,193,59,3.26 - 3.80,3.08 - 3.57,78%,31%,
Social Sciences,College Of Letters & science,Chicana/0 studies,37,26,8,3.17 - 3.60,3.10 - 3.37,70%,31%,
Social Sciences,College Of Letters & science,East asian studies,56,42,4,3.38 - 3.74,masked,75%,10%,
Social Sciences,College Of Letters & science,Economics,"1,238",964,187,3.44 - 3.85,3.26 - 3.66,78%,19%,
Social Sciences,College Of Letters & science,"Gender, sexuality, and women's studies",53,34,9,3.26 - 3.69,3.08 - 3.42,64%,26%,
Social Sciences,College Of Letters & science,International relations,222,163,38,3.31 - 3.76,3.13 - 3.71,73%,23%,
Social Sciences,College Of Letters & science,Political science,676,473,115,3.46 - 3.86,3.39 - 3.68,70%,24%,
Social Sciences,College Of Letters & science,Political science - public service,177,120,32,3.35 - 3.80,3.25 - 3.61,68%,27%,
Social Sciences,College Of Letters & science,Psychology,"1,640",670,298,3.42 - 3.85,3.39 - 3.80,41%,44%,
Social Sciences,College Of Letters & science,Sociology,725,470,89,3.39 - 3.80,3.27 - 3.63,65%,19%,
Social Sciences,College Of Letters & science,Sociology/organizational studies,87,50,17,3.22 - 3.77,3.16 - 3.46,57%,34%,
