Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Letters & science,Art - studio,193,152,34,3.35 - 3.93,3.35 - 3.88,79%,22%,
Arts & Humanities,College Of Letters & science,Art history,132,88,9,3.48 - 3.91,3.50 - 3.85,67%,10%,
Arts & Humanities,College Of Letters & science,English,444,340,37,3.39 - 3.89,3.29 - 3.75,77%,11%,
Arts & Humanities,College Of Letters & science,Film studies,485,302,67,3.46 - 3.88,3.39 - 3.79,62%,22%,
Arts & Humanities,College Of Letters & science,History,333,235,26,3.50 - 3.93,3.35 - 3.85,71%,11%,
Arts & Humanities,College Of Letters & science,History of public policy and law,46,29,4,3.34 - 3.87,masked,63%,14%,
Arts & Humanities,College Of Letters & science,Japanese,31,25,3,3.35 - 3.90,masked,81%,12%,
Arts & Humanities,College Of Letters & science,Linguistics,129,84,18,3.53 - 4.00,3.24 - 3.77,65%,21%,
Arts & Humanities,College Of Letters & science,Music,63,24,4,3.44 - 3.76,masked,38%,17%,
Arts & Humanities,College Of Letters & science,Philosophy,236,170,17,3.41 - 3.90,3.09 - 3.56,72%,10%,
Arts & Humanities,College Of Letters & science,Spanish,55,41,4,3.49 - 3.84,masked,75%,10%,
Arts & Humanities,College Of Letters & science,Theater,118,75,10,3.41 - 3.88,3.31 - 3.80,64%,13%,
Business,College Of Letters & science,Actuarial science,50,39,10,3.48 - 3.94,3.18 - 3.85,78%,26%,
Computer Science,College Of Engineering,Computer science,"1,297",159,12,3.93 - 4.00,3.75 - 4.00,12%,8%,
Engineering,College Of Engineering,Chemical engineering,596,118,26,3.61 - 3.89,3.55 - 3.80,20%,22%,
Engineering,College Of Engineering,Computer engineering,203,57,4,3.71 - 3.95,masked,28%,7%,
Engineering,College Of Engineering,Electrical engineering,224,91,10,3.62 - 3.97,3.74 - 3.94,41%,11%,
Life Sciences,College Of Letters & science,Biological sciences,"1,548",699,102,3.46 - 3.88,3.37 - 3.81,45%,15%,
Life Sciences,College Of Letters & science,Environmental studies,254,188,60,3.34 - 3.81,3.34 - 3.75,74%,32%,
Other/Interdisciplinary,College Of Letters & science,Communication studies,"1,410","1,000",364,3.41 - 3.90,3.33 - 3.81,71%,36%,
Other/Interdisciplinary,College Of Letters & science,Global studies,209,151,16,3.30 - 3.89,3.28 - 3.76,72%,11%,
Physical Sciences/Math,College Of Letters & science,Applied mathematics,227,195,9,3.54 - 3.94,3.36 - 4.00,86%,5%,
Physical Sciences/Math,College Of Letters & science,Chemistry,342,261,34,3.38 - 3.88,3.31 - 3.64,76%,13%,
Physical Sciences/Math,College Of Letters & science,Financial mathematics & statistics,80,57,13,3.57 - 3.95,3.40 - 3.60,71%,23%,
Physical Sciences/Math,College Of Letters & science,Geology,82,54,16,3.29 - 3.82,3.08 - 3.56,66%,30%,
Physical Sciences/Math,College Of Letters & science,Mathematics,254,167,11,3.49 - 3.90,3.49 - 3.81,66%,7%,
Physical Sciences/Math,College Of Letters & science,Physics,129,44,6,3.72 - 4.00,3.56 - 3.96,34%,14%,
Physical Sciences/Math,College Of Letters & science,Statistics and data science,669,585,88,3.54 - 3.94,3.26 - 3.70,87%,15%,
Social Sciences,College Of Letters & science,Anthropology,305,222,40,3.30 - 3.89,3.21 - 3.70,73%,18%,
Social Sciences,College Of Letters & science,Biopsychology,244,197,36,3.40 - 3.88,3.36 - 3.92,81%,18%,
Social Sciences,College Of Letters & science,Chicano studies,28,14,4,3.35 - 3.81,masked,50%,29%,
Social Sciences,College Of Letters & science,Economics,"1,841","1,137",227,3.53 - 3.92,3.44 - 3.83,62%,20%,
Social Sciences,College Of Letters & science,Economics and accounting,"1,083",693,121,3.58 - 3.94,3.39 - 3.85,64%,17%,
Social Sciences,College Of Letters & science,Feminist studies,39,24,3,3.52 - 3.85,masked,62%,13%,
Social Sciences,College Of Letters & science,Geography,70,47,16,3.41 - 3.93,3.33 - 3.61,67%,34%,
Social Sciences,College Of Letters & science,Physical geography,12,10,4,3.25 - 3.75,masked,83%,40%,
Social Sciences,College Of Letters & science,Political science,864,655,72,3.44 - 3.91,3.24 - 3.68,76%,11%,
Social Sciences,College Of Letters & science,Psychological and brain science,"1,229",882,202,3.39 - 3.87,3.25 - 3.75,72%,23%,
Social Sciences,College Of Letters & science,Sociology,"1,087",816,151,3.43 - 3.91,3.21 - 3.78,75%,19%,
