Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,91,64,19,3.30 - 3.84,3.20 - 3.68,70%,30%,
Arts & Humanities,College Of Letters & science,Art - studio,133,104,25,3.40 - 3.91,3.38 - 3.92,78%,24%,
Arts & Humanities,College Of Letters & science,Art history,53,45,5,3.42 - 3.80,3.56 - 3.75,85%,11%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,174,119,15,3.40 - 3.79,3.26 - 3.62,68%,13%,
Arts & Humanities,College Of Letters & science,Design,228,168,89,3.47 - 3.92,3.47 - 3.89,74%,53%,
Arts & Humanities,College Of Letters & science,English,310,250,43,3.37 - 3.89,3.39 - 3.86,81%,17%,
Arts & Humanities,College Of Letters & science,History,205,157,33,3.44 - 3.89,3.22 - 3.93,77%,21%,
Arts & Humanities,College Of Letters & science,Japanese,27,23,3,3.15 - 3.81,masked,85%,13%,
Arts & Humanities,College Of Letters & science,Linguistics,66,54,9,3.51 - 3.99,3.38 - 3.71,82%,17%,
Arts & Humanities,College Of Letters & science,Music,40,23,4,3.47 - 3.91,masked,58%,17%,
Arts & Humanities,College Of Letters & science,Philosophy,162,120,14,3.30 - 3.87,3.40 - 3.89,74%,12%,
Arts & Humanities,College Of Letters & science,Theatre and dance,50,37,6,3.32 - 3.85,3.34 - 3.46,74%,16%,
Business,College Of Agric & environ sciences,Managerial economics,610,426,103,3.47 - 3.91,3.35 - 3.78,70%,24%,
Computer Science,College Of Letters & science,Computer science,"1,098",496,155,3.72 - 3.96,3.63 - 3.87,45%,31%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,53,33,13,3.15 - 3.81,3.13 - 3.62,62%,39%,
Engineering,College Of Agric & environ sciences,Agricultural and environmental technology,24,11,3,3.53 - 3.83,masked,46%,27%,
Engineering,College Of Engineering,Aerospace science and engineering,123,31,15,3.55 - 3.85,3.55 - 4.00,25%,48%,
Engineering,College Of Engineering,Biomedical engineering,88,23,4,3.54 - 3.93,masked,26%,17%,
Engineering,College Of Engineering,Chemical engineering,70,29,6,3.43 - 3.86,3.58 - 3.75,41%,21%,
Engineering,College Of Engineering,Civil engineering,185,64,23,3.55 - 3.81,3.55 - 3.74,35%,36%,
Engineering,College Of Engineering,Computer engineering,153,56,12,3.60 - 3.95,3.74 - 3.92,37%,21%,
Engineering,College Of Engineering,Computer science & engineering,482,76,26,3.66 - 3.91,3.71 - 3.84,16%,34%,
Engineering,College Of Engineering,Engineering,191,94,19,3.52 - 3.92,3.40 - 3.80,49%,20%,
Engineering,College Of Engineering,Environmental engineering,26,13,5,3.48 - 3.93,3.62 - 3.73,50%,38%,
Engineering,College Of Engineering,Materials science,23,10,4,3.44 - 3.85,masked,43%,40%,
Engineering,College Of Engineering,Mechanical engineering,403,131,40,3.55 - 3.89,3.52 - 3.82,33%,31%,
Life Sciences,College Of Agric & environ sciences,Animal biology,86,61,38,3.19 - 3.83,3.13 - 3.76,71%,62%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,222,157,111,3.19 - 3.68,3.16 - 3.65,71%,71%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,46,30,20,3.54 - 3.88,3.52 - 3.86,65%,67%,
Life Sciences,College Of Agric & environ sciences,Entomology,9,7,5,3.14 - 3.59,3.33 - 3.65,78%,71%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,61,43,13,3.44 - 3.82,3.38 - 3.87,70%,30%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,168,128,49,3.22 - 3.77,3.19 - 3.73,76%,38%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,17,7,4,3.23 - 3.35,masked,41%,57%,
Life Sciences,College Of Agric & environ sciences,Food science,30,20,11,3.28 - 3.89,3.16 - 3.81,67%,55%,
Life Sciences,College Of Agric & environ sciences,Global disease biology,79,67,39,3.13 - 3.57,3.07 - 3.52,85%,58%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,52,37,25,3.31 - 3.81,3.31 - 3.80,71%,68%,
Life Sciences,College Of Agric & environ sciences,Sustainable environmental design,43,33,14,3.50 - 3.90,3.67 - 3.89,77%,42%,
Life Sciences,College Of Agric & environ sciences,Viticulture & enology,14,9,8,3.35 - 3.56,3.34 - 3.52,64%,89%,
Life Sciences,College Of Agric & environ sciences,"Wildlife, fish & conservation biology",34,24,13,3.11 - 3.61,3.13 - 3.59,71%,54%,
Life Sciences,College Of Biological sciences,Biochemistry- molecular biology,303,182,56,3.51 - 3.91,3.37 - 3.91,60%,31%,
Life Sciences,College Of Biological sciences,Biological sciences,827,483,166,3.41 - 3.81,3.40 - 3.78,58%,34%,
Life Sciences,College Of Biological sciences,Cell biology,56,33,4,3.47 - 3.83,masked,59%,12%,
Life Sciences,College Of Biological sciences,"Evolution, ecology & biodiversity",36,21,10,3.34 - 3.65,3.19 - 3.65,58%,48%,
Life Sciences,College Of Biological sciences,Genetics and genomics,39,23,7,3.35 - 3.86,2.96 - 3.57,59%,30%,
Life Sciences,College Of Biological sciences,Molecular & medical microbiology,141,83,24,3.48 - 3.85,3.28 - 3.69,59%,29%,
Life Sciences,College Of Biological sciences,"Neurobiology, physiology, & behavior",215,120,34,3.45 - 3.87,3.41 - 3.78,56%,28%,
Life Sciences,College Of Biological sciences,Plant biology,15,7,3,3.31 - 4.00,masked,47%,43%,
Other Health Science,College Of Letters & science,Pharmaceutical chemistry,42,20,6,3.51 - 3.85,3.18 - 3.56,48%,30%,
Other/Interdisciplinary,College Of Agric & environ sciences,Clinical nutrition,72,52,29,3.29 - 3.83,3.29 - 3.69,72%,56%,
Other/Interdisciplinary,College Of Agric & environ sciences,International agricultural development,12,10,6,3.51 - 3.85,3.39 - 3.75,83%,60%,
Other/Interdisciplinary,College Of Agric & environ sciences,Marine and coastal science,17,10,3,3.20 - 3.88,masked,59%,30%,
Other/Interdisciplinary,College Of Agric & environ sciences,Nutritional science,68,47,21,3.29 - 3.78,3.07 - 3.78,69%,45%,
Other/Interdisciplinary,College Of Agric & environ sciences,Sustainable agriculture and food systems,28,17,9,3.44 - 3.86,3.39 - 3.86,61%,53%,
Other/Interdisciplinary,College Of Biological sciences,Marine and coastal science,19,8,5,3.56 - 3.93,3.48 - 3.75,42%,63%,
Other/Interdisciplinary,College Of Letters & science,Cognitive science,237,196,48,3.39 - 3.85,3.27 - 3.79,83%,24%,
