Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,60,46,20,3.22 - 3.71,3.29 - 3.60,77%,43%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,52,39,12,3.31 - 3.64,3.36 - 3.61,75%,31%,
Arts & Humanities,College Of Letters & science,Art - studio,86,55,19,3.29 - 3.76,3.18 - 3.67,64%,35%,
Arts & Humanities,College Of Letters & science,Art history,60,48,16,3.16 - 3.76,3.17 - 3.90,80%,33%,
Arts & Humanities,College Of Letters & science,Design,146,75,32,3.33 - 3.76,3.23 - 3.67,51%,43%,
Arts & Humanities,College Of Letters & science,Dramatic art,43,26,5,3.33 - 3.82,3.29 - 3.74,60%,19%,
Arts & Humanities,College Of Letters & science,English,376,282,80,3.17 - 3.70,3.12 - 3.52,75%,28%,
Arts & Humanities,College Of Letters & science,Film studies,107,62,10,3.16 - 3.75,3.02 - 3.39,58%,16%,
Arts & Humanities,College Of Letters & science,History,226,160,48,3.23 - 3.72,3.06 - 3.53,71%,30%,
Arts & Humanities,College Of Letters & science,Japanese,52,39,12,3.32 - 3.67,3.39 - 3.77,75%,31%,
Arts & Humanities,College Of Letters & science,Linguistics,101,79,18,3.32 - 3.79,3.35 - 3.72,78%,23%,
Arts & Humanities,College Of Letters & science,Music,51,35,8,3.31 - 3.89,3.36 - 3.77,69%,23%,
Arts & Humanities,College Of Letters & science,Philosophy,165,124,30,3.20 - 3.62,3.17 - 3.44,75%,24%,
Arts & Humanities,College Of Letters & science,Spanish,50,35,9,3.09 - 3.59,3.30 - 3.48,70%,26%,
Arts & Humanities,College Of Letters & science,Technocultural studies,14,11,3,3.27 - 3.64,masked,79%,27%,
Business,College Of Agric & environ sciences,Managerial economics,422,338,145,3.28 - 3.76,3.20 - 3.60,80%,43%,
Computer Science,College Of Letters & science,Computer science,428,332,156,3.27 - 3.69,3.20 - 3.58,78%,47%,
Engineering,College Of Engineering,Aerospace science and engineering,101,26,15,3.34 - 3.62,3.40 - 3.61,26%,58%,
Engineering,College Of Engineering,Biomedical engineering,143,39,13,3.45 - 3.93,3.38 - 3.50,27%,33%,
Engineering,College Of Engineering,Chemical engineering,240,91,28,3.55 - 3.92,3.49 - 3.77,38%,31%,
Engineering,College Of Engineering,Civil engineering,246,76,34,3.45 - 3.77,3.43 - 3.60,31%,45%,
Engineering,College Of Engineering,Computer engineering,138,27,13,3.36 - 3.73,3.51 - 3.70,20%,48%,
Engineering,College Of Engineering,Computer science & engineering,326,45,10,3.40 - 3.90,3.35 - 3.62,14%,22%,
Engineering,College Of Engineering,Engineering,317,125,42,3.40 - 3.80,3.36 - 3.63,39%,34%,
Engineering,College Of Engineering,Materials science,45,10,3,3.51 - 3.85,masked,22%,30%,
Engineering,College Of Engineering,Mechanical engineering,415,112,50,3.39 - 3.76,3.32 - 3.63,27%,45%,
Life Sciences,College Of Agric & environ sciences,Animal biology,92,64,43,3.17 - 3.61,3.05 - 3.53,70%,67%,
Life Sciences,College Of Agric & environ sciences,Animal science & management,22,16,11,3.16 - 3.70,3.09 - 3.70,73%,69%,
Life Sciences,College Of Agric & environ sciences,Animal sciences,160,105,80,3.11 - 3.60,3.10 - 3.53,66%,76%,
Life Sciences,College Of Agric & environ sciences,Biotechnology,31,15,9,3.17 - 3.70,3.04 - 3.58,48%,60%,
Life Sciences,College Of Agric & environ sciences,Entomology,7,5,3,3.06 - 3.60,masked,71%,60%,
Life Sciences,College Of Agric & environ sciences,Environ policy analysis & planning,60,47,18,3.20 - 3.69,3.20 - 3.45,78%,38%,
Life Sciences,College Of Agric & environ sciences,Environmental horticulture & urban forestry,17,11,7,3.19 - 3.55,3.21 - 3.55,65%,64%,
Life Sciences,College Of Agric & environ sciences,Environmental science and management,107,72,32,3.11 - 3.65,3.11 - 3.59,67%,44%,
Life Sciences,College Of Agric & environ sciences,Environmental toxicology,19,13,10,3.14 - 3.56,3.13 - 3.40,68%,77%,
Life Sciences,College Of Agric & environ sciences,Food science,80,54,39,3.14 - 3.69,3.13 - 3.67,68%,72%,
Life Sciences,College Of Agric & environ sciences,Plant sciences,15,12,11,3.25 - 3.59,3.25 - 3.57,80%,92%,
Life Sciences,College Of Agric & environ sciences,"Wildlife, fish & conservation biology",56,39,22,3.08 - 3.49,3.16 - 3.47,70%,56%,
Life Sciences,College Of Biological sciences,Biochemistry- molecular biology,546,286,117,3.38 - 3.83,3.22 - 3.78,52%,41%,
Life Sciences,College Of Biological sciences,Biological sciences,775,292,152,3.31 - 3.74,3.28 - 3.70,38%,52%,
Life Sciences,College Of Biological sciences,Cell biology,77,35,13,3.42 - 3.70,3.33 - 3.57,45%,37%,
Life Sciences,College Of Biological sciences,"Evolution, ecology & biodiversity",36,13,7,3.34 - 3.60,3.18 - 3.56,36%,54%,
Life Sciences,College Of Biological sciences,Exercise biology,75,16,7,3.26 - 3.83,3.22 - 3.32,21%,44%,
Life Sciences,College Of Biological sciences,Genetics,58,25,19,3.31 - 3.75,3.31 - 3.69,43%,76%,
Life Sciences,College Of Biological sciences,Microbiology,121,52,24,3.29 - 3.78,3.17 - 3.65,43%,46%,
Life Sciences,College Of Biological sciences,"Neurobiology, physiology, & behavior",278,139,62,3.36 - 3.72,3.22 - 3.61,50%,45%,
Life Sciences,College Of Biological sciences,Plant biology,21,9,6,3.11 - 3.61,3.05 - 3.35,43%,67%,
Other Health Science,College Of Letters & science,Pharmaceutical chemistry,105,82,47,3.31 - 3.69,3.20 - 3.67,78%,57%,
Other/Interdisciplinary,College Of Agric & environ sciences,Clinical nutrition,97,74,54,3.21 - 3.63,3.21 - 3.61,76%,73%,
Other/Interdisciplinary,College Of Agric & environ sciences,Ecological management and restoration,10,8,6,3.04 - 3.25,3.07 - 3.22,80%,75%,
Other/Interdisciplinary,College Of Agric & environ sciences,International agricultural development,16,8,4,3.18 - 3.40,masked,50%,50%,
Other/Interdisciplinary,College Of Agric & environ sciences,Nutritional science,164,119,76,3.23 - 3.71,3.17 - 3.59,73%,64%,
Other/Interdisciplinary,College Of Agric & environ sciences,Sustainable agriculture and food systems,32,15,12,3.34 - 3.71,3.39 - 3.75,47%,80%,
Other/Interdisciplinary,College Of Agric & environ sciences,Viticulture & enology,19,6,5,3.35 - 3.83,3.34 - 3.85,32%,83%,
Other/Interdisciplinary,College Of Letters & science,Classical civilization,12,10,4,3.14 - 3.56,masked,83%,40%,
Other/Interdisciplinary,College Of Letters & science,Communication,619,204,75,3.41 - 3.80,3.32 - 3.62,33%,37%,
Physical Sciences/Math,College Of Agric & environ sciences,Hydrology,5,3,3,masked,masked,60%,100%,
Physical Sciences/Math,College Of Letters & science,Applied mathematics,100,80,10,3.38 - 3.92,3.07 - 3.25,80%,13%,
Physical Sciences/Math,College Of Letters & science,Applied physics,25,16,3,3.09 - 3.81,masked,64%,19%,
Physical Sciences/Math,College Of Letters & science,Chemistry,251,198,87,3.18 - 3.67,3.13 - 3.47,79%,44%,
Physical Sciences/Math,College Of Letters & science,Geology,54,36,16,3.28 - 3.63,3.26 - 3.62,67%,44%,
Physical Sciences/Math,College Of Letters & science,Mathematics,242,174,44,3.26 - 3.83,3.12 - 3.67,72%,25%,
Physical Sciences/Math,College Of Letters & science,Mathematics & science computation,26,20,4,3.14 - 3.69,masked,77%,20%,
Physical Sciences/Math,College Of Letters & science,Natural sciences,10,8,5,3.22 - 3.65,3.14 - 3.37,80%,63%,
Physical Sciences/Math,College Of Letters & science,Physics,125,95,28,3.17 - 3.73,3.04 - 3.45,76%,29%,
Physical Sciences/Math,College Of Letters & science,Statistics,115,97,26,3.40 - 3.76,3.13 - 3.47,84%,27%,
Social Sciences,College Of Agric & environ sciences,Human development,156,114,82,3.10 - 3.57,3.10 - 3.56,73%,72%,
Social Sciences,College Of Agric & environ sciences,Textiles & clothing,14,7,3,3.06 - 3.30,masked,50%,43%,
Social Sciences,College Of Letters & science,Anthropology,263,195,51,3.25 - 3.73,3.22 - 3.58,74%,26%,
Social Sciences,College Of Letters & science,Asian american studies,26,20,7,3.10 - 3.47,3.01 - 3.18,77%,35%,
Social Sciences,College Of Letters & science,Economics,"1,817","1,381",372,3.32 - 3.81,3.21 - 3.55,76%,27%,
Social Sciences,College Of Letters & science,International relations,256,86,31,3.33 - 3.79,3.30 - 3.71,34%,36%,
Social Sciences,College Of Letters & science,Political science,520,365,128,3.24 - 3.73,3.13 - 3.50,70%,35%,
Social Sciences,College Of Letters & science,Political science - public service,89,60,24,3.28 - 3.73,3.13 - 3.54,67%,40%,
Social Sciences,College Of Letters & science,Psychology,"1,206",490,242,3.35 - 3.78,3.30 - 3.64,41%,49%,
Social Sciences,College Of Letters & science,Sociology,503,341,103,3.22 - 3.71,3.14 - 3.47,68%,30%,
Social Sciences,College Of Letters & science,Sociology/organizational studies,38,29,6,3.12 - 3.59,3.12 - 3.32,76%,21%,
Social Sciences,College Of Letters & science,Women's studies,46,33,8,3.13 - 3.60,3.04 - 3.35,72%,24%,
Undeclared,College Of Agric & environ sciences,Undeclared/exploratory agricultural science,91,21,9,3.10 - 3.75,3.23 - 3.71,23%,43%,
