Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,College Of Agric & environ sciences,Community & regional development,36,24,11,3.24 - 3.71,3.23 - 3.58,67%,46%,
Architecture,College Of Agric & environ sciences,Pre-landscape architecture,77,61,14,3.30 - 3.79,3.10 - 3.65,79%,23%,
Architecture,College Of Agric & environ sciences,Sustainable environmental design,38,26,12,3.19 - 3.76,3.12 - 3.38,68%,46%,
Arts & Humanities,College Of Letters & science,Art - studio,97,80,22,3.28 - 3.79,3.30 - 3.80,82%,28%,
Arts & Humanities,College Of Letters & science,Art history,65,50,9,3.30 - 3.75,3.06 - 3.66,77%,18%,
Arts & Humanities,College Of Letters & science,Cinema and digital media,108,80,9,3.14 - 3.63,3.08 - 3.44,74%,11%,
Arts & Humanities,College Of Letters & science,Comparative literature,22,16,6,3.41 - 3.71,3.24 - 3.61,73%,38%,
Arts & Humanities,College Of Letters & science,Design,163,131,60,3.29 - 3.74,3.12 - 3.60,80%,46%,
Arts & Humanities,College Of Letters & science,English,422,324,75,3.26 - 3.77,3.16 - 3.60,77%,23%,
Arts & Humanities,College Of Letters & science,French,14,11,4,3.26 - 3.76,masked,79%,36%,
Arts & Humanities,College Of Letters & science,History,242,186,49,3.31 - 3.81,3.16 - 3.58,77%,26%,
Arts & Humanities,College Of Letters & science,Japanese,36,26,5,3.24 - 3.86,3.18 - 3.77,72%,19%,
Arts & Humanities,College Of Letters & science,Linguistics,98,75,9,3.31 - 3.76,3.09 - 3.37,77%,12%,
Arts & Humanities,College Of Letters & science,Music,45,37,7,3.16 - 3.77,3.34 - 3.90,82%,19%,
Arts & Humanities,College Of Letters & science,Philosophy,206,147,28,3.26 - 3.76,3.01 - 3.44,71%,19%,
Arts & Humanities,College Of Letters & science,Spanish,49,39,10,3.24 - 3.71,3.12 - 3.47,80%,26%,
Arts & Humanities,College Of Letters & science,Theatre and dance,62,45,4,3.15 - 3.80,masked,73%,9%,
Business,College Of Agric & environ sciences,Managerial economics,676,549,193,3.31 - 3.76,3.21 - 3.59,81%,35%,
Computer Science,College Of Letters & science,Computer science,918,299,92,3.63 - 3.94,3.49 - 3.86,33%,31%,
Education,College Of Agric & environ sciences,Agricultural and environmental education,60,36,17,3.11 - 3.62,3.13 - 3.61,60%,47%,
Engineering,College Of Engineering,Aerospace science and engineering,149,42,13,3.48 - 3.84,3.48 - 3.69,28%,31%,
Engineering,College Of Engineering,Biochemical engineering,23,8,6,3.53 - 3.93,3.52 - 3.88,35%,75%,
Engineering,College Of Engineering,Biomedical engineering,148,36,10,3.51 - 3.85,3.53 - 3.70,24%,28%,
Engineering,College Of Engineering,Chemical engineering,212,59,18,3.55 - 3.86,3.54 - 3.66,28%,31%,
Engineering,College Of Engineering,Civil engineering,258,58,29,3.46 - 3.71,3.47 - 3.67,22%,50%,
Engineering,College Of Engineering,Computer engineering,155,14,7,3.41 - 3.69,3.43 - 3.80,9%,50%,
Engineering,College Of Engineering,Computer science & engineering,540,28,17,3.43 - 3.78,3.40 - 3.64,5%,61%,
Engineering,College Of Engineering,Engineering,367,140,35,3.51 - 3.87,3.48 - 3.70,38%,25%,
Engineering,College Of Engineering,Materials science,45,15,4,3.52 - 3.76,masked,33%,27%,
Engineering,College Of Engineering,Mechanical engineering,490,91,33,3.54 - 3.82,3.44 - 3.73,19%,36%,
